Year	Entrant	Chassis	Engine	Points
1950	Pioneer Auto Repair	Wetteroth	Offenhauser L4	0
1952	Grancor-Wynn's Oil	Kurtis Kraft 3000	Offenhauser L4	6
1953	Travelon Trailer	Kurtis Kraft 500B	Offenhauser L4	0
1954	Bardahl	Kurtis Kraft 500C	Offenhauser L4	0
1955	Belond Miracle Power	Epperly	Offenhauser L4	0
1956	Hopkins	Kurtis Kraft 500C	Offenhauser L4	0
1957	Chiropractic	Epperly Indy Roadster	Offenhauser L4	7
1958	Leader Card 500 Roadster	Epperly Indy Roadster	Offenhauser L4	2
1959	Simoniz	Watson Indy Roadster	Offenhauser L4	6
1960	Ken-Paul	Watson Indy Roadster	Offenhauser L4	8
