Driver	Car #	Make	Points	Laps	Winnings
Jeff Gordon	24	Chevrolet	195	192	$355,511
Jimmie Johnson	48	Chevrolet	175	192	$251,736
Kurt Busch	2	Dodge	170	192	$212,483
David Gilliland	38	Ford	160	192	$182,689
Jamie McMurray	26	Ford	160	192	$134,675
Kevin Harvick	29	Chevrolet	150	192	$164,536
Dale Earnhardt Jr.	8	Chevrolet	151	192	$149,233
David Stremme	40	Dodge	147	192	$106,025
Ryan Newman	12	Dodge	138	192	$133,450
Martin Truex Jr.	1	Chevrolet	134	192	$126,495
Scott Riggs	10	Dodge	130	192	$107,050
Kasey Kahne	9	Dodge	132	192	$138,891
Jeff Green	66	Chevrolet	129	192	$120,933
Matt Kenseth	17	Ford	126	192	$137,641
Elliott Sadler	19	Dodge	123	192	$110,770
Sterling Marlin	14	Chevrolet	120	192	$107,983
David Ragan *	6	Ford	117	192	$127,100
Kyle Petty	45	Dodge	109	192	$103,083
J.J. Yeley	18	Chevrolet	106	192	$116,033
Bobby Labonte	43	Dodge	103	192	$127,111
Denny Hamlin	11	Chevrolet	105	192	$102,550
Tony Raines	96	Chevrolet	97	192	$96,425
Jeremy Mayfield	36	Toyota	94	192	$83,075
Regan Smith	01	Chevrolet	96	192	$104,258
Reed Sorenson	41	Dodge	88	192	$101,947
Kenny Wallace	78	Chevrolet	90	192	$83,325
Boris Said	160	Ford	87	191	$80,775
Tony Stewart	20	Chevrolet	84	190	$127,761
Greg Biffle	16	Ford	81	190	$97,025
Johnny Sauter	70	Chevrolet	73	190	$79,325
Juan Montoya *	42	Dodge	70	187	$115,750
David Reutimann *	00	Toyota	67	184	$78,525
Ricky Rudd	88	Ford	64	155	$110,458
Jeff Burton	31	Chevrolet	66	151	$118,266
Clint Bowyer	07	Chevrolet	58	147	$86,125
Ward Burton	4	Chevrolet	55	144	$78,725
Kyle Busch	5	Chevrolet	52	130	$95,800
Joe Nemechek	13	Chevrolet	49	130	$77,450
Casey Mears	25	Chevrolet	51	124	$85,250
Dale Jarrett	44	Toyota	43	38	$77,000
Robby Gordon	7	Ford	40	33	$76,800
Carl Edwards	99	Ford	37	27	$84,630
Paul Menard *	15	Chevrolet	34	22	$76,737
