Branding	Callsign	Frequency	Power (kW)	Station Type	Location
DZRH	DZRH	666kHz	50kW	Originating	Metro Manila
DZRH Laoag	DZMT	990kHz	5kW	Relay	Laoag
DZRH Dagupan	DWDH	1440kHz	10kW	Relay	Dagupan
DZRH Tuguegarao	DWRH	576kHz	5kW	Relay	Tuguegarao
DZRH Isabela	DWRH	828kHz	5kW	Relay	Santiago, Isabela
DZRH Lucena	DWSR	1224kHz	5kW	Relay	Lucena
DZRH Palawan	DYPH	693kHz	10kW	Relay	Puerto Princesa
DZRH Naga	DWMT	981kHz	5kW	Relay	Naga
DZRH Sorsogon	DZZH	1287kHz	5kW	Relay	Sorsogon
DZRH Kalibo	DYKX	693kHz	1kW	Relay	Kalibo, Aklan
DZRH Iloilo	DYDH	1485kHz	5kW	Relay	Iloilo
DZRH Bacolod	DYBH	1080kHz	5kW	Relay	Bacolod
DZRH Cebu	DYRH	1395kHz	10kW	Relay	Cebu
DZRH Tacloban	DYTH	990kHz	5kW	Relay	Tacloban
DZRH Zamboanga	DXZH	855kHz	5kW	Relay	Zamboanga
DZRH Cagayan De Oro	DXKH	972kHz	5kW	Relay	Cagayan de Oro
DZRH Davao	DXRF	1260kHz	10kW	Relay	Davao
DZRH General Santos	DXGH	531kHz	5kW	Relay	General Santos
DZRH Bislig	DXRH	1035kHz	1kW	Relay	Bislig, Surigao del Sur
