Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
China	Wang Bingyu	9	2	92	67	57	43	6	18	80%
Canada	Jennifer Jones	9	2	88	62	46	43	13	9	84%
Switzerland	Mirjam Ott	9	2	90	64	51	46	7	11	81%
Japan	Moe Meguro	7	4	75	66	49	45	17	13	77%
Denmark	Angelina Jensen	7	4	73	68	44	51	16	7	79%
Sweden	Stina Viktorsson	6	5	68	72	45	51	10	7	80%
United States	Debbie McCormick	6	5	71	74	51	52	6	13	78%
Russia	Ludmila Privivkova	4	7	67	74	45	48	11	12	78%
Germany	Andrea Schöpp	4	7	63	70	49	45	17	14	77%
Scotland	Gail Munro	3	8	59	77	43	48	17	8	77%
Italy	Diana Gaspari	2	9	60	77	45	47	14	10	74%
