Year	Venue	Location	Winners	Runners-up
2012	Gloria Golf Club	Antalya , Turkey	South Korea	Germany
2010	Buenos Aires Golf Club & Olivos Golf Club	Buenos Aires , Argentina	South Korea	United States
2008	The Grange Golf Club	Adelaide , Australia	Sweden	Spain
2006	Stellenbosch Golf Club	Cape Town , South Africa	South Africa	Sweden
2004	Rio Mar Country Club	Río Grande, Puerto Rico	Sweden	Canada & United States (tie)
2002	Saujana Golf & Country Club	Kuala Lumpur , Malaysia	Australia	Thailand
2000	Sporting Club Berlin	Bad Saarow , Germany	France	South Korea
1998	Prince of Wales Country Club	Santiago, Chile	United States	Italy
1996	St. Elena Golf Club	Manila , Philippines	South Korea	Italy
1994	The National Golf Club	Versailles , France	United States	South Korea
1992	Marine Drive Golf Club	Vancouver , British Columbia	Spain	Great Britain & Ireland
1990	Russley Golf Club	Christchurch , New Zealand	United States	New Zealand
1988	Drottningholm Golf Club	Stockholm , Sweden	United States	Sweden
1986	Lagunita Country Club	Caracas , Venezuela	Spain	France
1984	Royal Hong Kong Golf Club	Fanling , Hong Kong	United States	France
1982	Geneva Golf Club	Geneva , Switzerland	United States	New Zealand
1980	Pinehurst Resort	Pinehurst, North Carolina	United States	Australia
1978	Pacific Harbour Golf & Country Club	Suva , Viti Levu , Fiji	Australia	Canada
1976	Vilamoura Golf Club	Portimão , Algarve , Portugal	United States	France
1974	Casa de Campo	La Romana, Dominican Republic	United States	Great Britain & Ireland
1972	The Hundu Country Club	Buenos Aires , Argentina	United States	France
1970	Club de Campo	Madrid , Spain	United States	France
1968	Victoria Golf Club	Cheltenham, Victoria , Australia	United States	Australia
1966	Mexico City Golf Club	Mexico City , Mexico	United States	Canada
1964	St. Germain Golf Club	Saint-Germain-en-Laye , France	France	United States
