-	Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)	Fertility rates	Urban Fertility	Rural Fertility
1997	3 654	45 583	42 957	2 626	12.5	11.8	0.7	1.70	120	210
1998	3 652	41 332	39 922	1 410	11.3	10.9	0.4	1.49	112	182
1999	3 647	38 501	41 315	-2 814	10.6	11.3	-0.8	1.37	105	164
2000	3 640	36 939	41 224	-4 285	10.2	11.3	-1.2	1.29	102	149
2001	3 631	36 448	40 075	-3 627	10.0	11.0	-1.0	1.25	102	142
2002	3 623	35 705	41 852	-6 147	9.9	11.6	-1.7	1.21	104	134
2003	3 613	36 471	43 079	-6 608	10.1	11.9	-1.8	1.22	104	135
2004	3 604	38 272	41 668	-3 396	10.6	11.6	-0.9	1.26	114	134
2005	3 595	37 695	44 689	-6 994	10.5	12.4	-1.9	1.22	109	130
2006	3 586	37 587	43 137	-5 550	10.5	12.0	-1.5	1.23	103	139
2007	3 577	37 973	43 050	-5 077	10.6	12.0	-1.4	1.26	97	154
2008	3 570	39 018	41 948	-2 930	10.9	11.7	-0.8	1.28	102	153
2009	3 566	40 809	42 122	-1 313	11.4	11.8	-0.4	1.33	105	158
2010	3 563	40 474	43 631	-3 157	11.4	12.3	-0.9	1.31	106	153
2011	3 560	39 182	39 249	-67	11.0	11.0	-0.0	1.27	101	148
