Round	Pick	Player	Position	School/Club Team
1	5	Stan Heath	Quarterback	Nevada
2	15	Dan Dworsky	Center	Michigan
3	25	Lou Ferry	Defensive Tackle	Villanova
4	24	Bob Summerhays	Linebacker	Utah
5	43	Glenn Lewis	Back	Texas Tech
6	54	Joe Ethridge	Tackle	SMU
8	74	Dan Orlich	Defensive End	Nevada
9	83	Everett Faunce	Back	Minnesota
11	103	Harry Larche	Tackle	Arkansas State
12	114	Rebel Steiner	Defensive Back	Alabama
13	123	Al Mastrangeli	Center	Illinois
14	134	Bobby Williams	Center	Texas Tech
15	143	Ken Cooper	Guard	Vanderbilt
16	154	Gene Remenar	Tackle	West Virginia
17	163	Paul Devine	Back	Heidelberg
18	174	Floyd Lewis	Guard	SMU
19	183	Bobby Folsom	End	SMU
20	194	Larry Cooney	Back	Penn State
21	203	Ken Kranz	Defensive Back	Wisconsin-Milwaukee
22	214	John Kordick	Back	USC
23	223	Bill Kelley	Tight End	Texas Tech
24	234	Jimmy Ford	Back	Tulsa
25	243	Frank Lambright	Guard	Arkansas
