Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Sep 18, 1983	Safeco Classic	–6 (69-71-72-71=283)	1 stroke	Kathy Whitworth
Apr 1, 1984	Nabisco Dinah Shore	–8 (70-73-69-68=280)	Playoff	Pat Bradley
Jul 29, 1984	du Maurier Classic	–9 (69-68-74-67=279)	1 stroke	Ayako Okamoto
Jun 30, 1985	Lady Keystone Open	–7 (69-72-68=209)	2 strokes	Betsy King
Mar 9, 1986	Women's Kemper Open	–12 (72-64-70-70=276)	1 stroke	Amy Alcott
Jun 8, 1986	McDonald's Championship	–7 (68-67-69-77=281)	3 strokes	Mary Beth Zimmerman
Jun 15, 1986	Lady Keystone Open	–6 (70-7-70=210)	Playoff	Debbie Massey Cindy Hill
Aug 24, 1986	Atlantic City LPGA Classic	–4 (67-71-71=209)	3 strokes	Patti Rizzo
May 8, 1988	Crestar Classic	–7 (70-70-69=209)	Playoff	Nancy Lopez Rosie Jones Betsy King
Aug 21, 1988	Atlantic City Classic	–7 (72-69-65=206)	Playoff	Beth Daniel
Sep 15, 1988	Safeco Classic	–10 (76-70-65-67=278)	3 strokes	Ok-Hee Ku
Apr 2, 1989	Nabisco Dinah Shore	–9 (66-69-73-71=279)	5 strokes	JoAnne Carner Tammie Green
May 7, 1989	Crestar Classic	–6 (69-72-69=210)	5 strokes	Beth Daniel Liselotte Neumann
Jul 28, 1991	LPGA Bay State Classic	–13 (70-72-66-67=275)	1 stroke	Caroline Keggi
Jul 19, 1992	JAL Big Apple Classic	–11 (66-64-69-74=273)	2 strokes	Nancy Lopez
Oct 19, 1997	Samsung World Championship of Women's Golf	–8 (67-74-72-67=280)	Playoff	Kelly Robbins Helen Alfredsson
Oct 25, 1998	Samsung World Championship of Women's Golf	–13 (70-73-66-66=275)	3 strokes	Annika Sörenstam
Mar 15, 1999	Welch's/Circle K Championship	–15 (68-71-69-65=273)	1 stroke	Dottie Pepper
Apr 4, 1999	Longs Drugs Challenge	–8 (69-67-73-70=279)	4 strokes	Sherri Steinhauer
Jun 6, 1999	U.S. Women's Open	–16 (65-69-67-71=272)	5 strokes	Sherri Turner
Jun 20, 1999	McDonald's LPGA Championship	−16 (68-66-69-65=268)	4 strokes	Liselotte Neumann
Sep 26, 1999	Safeway LPGA Golf Championship	–9 (67-70-70=207)	6 strokes	Tina Barrett Grace Park
Apr 16, 2000	Longs Drugs Challenge	–13 (70-67-66-72=275)	5 strokes	Brandie Burton
Jun 25, 2000	LPGA Championship	−3 (72-69-65-75=281)	Playoff	Stefania Croce
Oct 15, 2000	Samsung World Championship	−14 (69-67-69-69=274)	4 strokes	Annika Sörenstam
May 13, 2001	Electrolux USA Championship	−14 (73-67-69-65=274)	1 stroke	Catriona Matthew
May 5, 2002	Chick-fil-A Charity Championship	−12 (66-66=132)	2 strokes	Kelly Robbins
Jul 7, 2002	U.S. Women's Open	−4 (67-72-71-66=276)	2 strokes	Annika Sörenstam
May 25, 2003	LPGA Corning Classic	−24 (66-68-67-62=264)	4 strokes	Lorie Kane
Jul 26, 2003	Evian Masters	−21 (66-72-64-65=267)	6 strokes	Hee-Won Han
Mar 19, 2006	Safeway International	−15 (68-68-70-67=273)	2 strokes	Sarah Lee
