Goal	Date	Venue	Result	Competition
1	9 March 1993	Honduras	2–0	1993 UNCAF Nations Cup
2	31 March 1993	Medellín	1–3	Friendly
3	23 June 1993	San José	3–1	Friendly
4	1 December 1995	San Salvador	2–1	1995 UNCAF Nations Cup
5	7 December 1995	San Salvador	1–1	1995 UNCAF Nations Cup
6	10 December 1995	San Salvador	1–2	1995 UNCAF Nations Cup
7	23 April 1997	Guatemala City	4–0	1997 UNCAF Nations Cup
8	23 April 1997	Guatemala City	4–0	1997 UNCAF Nations Cup
9	23 April 1997	Guatemala City	4–0	1997 UNCAF Nations Cup
10	27 April 1997	Guatemala City	1–1	1997 UNCAF Nations Cup
11	24 February 1999	San José	9–0	Friendly
12	24 February 1999	San José	9–0	Friendly
13	17 March 1999	San José	7–0	1999 UNCAF Nations Cup
14	17 March 1999	San José	7–0	1999 UNCAF Nations Cup
15	24 March 1999	San José	1–0	1999 UNCAF Nations Cup
16	26 March 1999	San José	1–2	1999 UNCAF Nations Cup
17	28 March 1999	San José	4–0	1999 UNCAF Nations Cup
18	18 August 1999	Montevideo	4–5	Friendly
19	1 July 2000	San José	5–1	Friendly
20	1 July 2000	San José	5–1	Friendly
21	1 July 2000	San José	5–1	Friendly
22	23 July 2000	San José	2–1	World Cup qualifier
23	3 September 2000	San José	3–0	World Cup qualifier
24	15 November 2000	Mazatenango	1–2	World Cup qualifier
25	6 January 2001	Miami	5–2	World Cup qualifier
26	6 January 2001	Miami	5–2	World Cup qualifier
27	28 February 2001	San José	2–2	World Cup qualifier
28	19 April 2001	Alajuela	2–2	Friendly
29	23 May 2001	San Pedro Sula	4–0	2001 UNCAF Nations Cup
30	23 May 2001	San Pedro Sula	4–0	2001 UNCAF Nations Cup
31	23 May 2001	San Pedro Sula	4–0	2001 UNCAF Nations Cup
32	16 June 2001	Mexico DF	2–1	World Cup qualifier
33	1 July 2001	Tegucigalpa	3–2	World Cup qualifier
34	19 July 2001	Medellín	4–0	2001 Copa América
35	5 September 2001	San José	2–0	World Cup qualifier
36	5 September 2001	San José	2–0	World Cup qualifier
37	17 January 2002	Miami	2–0	2002 CONCACAF Gold Cup
38	19 January 2002	Miami	1–1	2002 CONCACAF Gold Cup
39	8 June 2003	San José	1–0	Friendly
40	26 July 2003	Miami	2–3	2003 CONCACAF Gold Cup
41	26 July 2003	Miami	2–3	2003 CONCACAF Gold Cup
42	9 October 2004	San José	5–0	World Cup qualifier
43	4 February 2007	Alajuela	4–0	Friendly
44	9 February 2007	San Salvador	3–1	2007 UNCAF Nations Cup
45	9 February 2007	San Salvador	3–1	2007 UNCAF Nations Cup
46	16 February 2007	San Salvador	2–0	2007 UNCAF Nations Cup
47	28 March 2007	Talca	1–1	Friendly
