Place	Player	Country	Score	To par	Money ( $ )
1	Dick Mayer	United States	70-68-74-70=282	+2	Playoff
2	Cary Middlecoff	United States	71-75-68-68=282	+2	Playoff
3	Jimmy Demaret	United States	68-73-70-72=283	+3	2,160
T4	Julius Boros	United States	69-75-70-70=284	+4	1,380
T4	Walter Burkemo	United States	74-73-72-65=284	+4	1,380
T6	Fred Hawkins	United States	72-72-71-71=286	+6	840
T6	Ken Venturi	United States	69-71-75-71=286	+6	840
T8	Roberto De Vicenzo	Argentina	72-70-72-76=290	+10	465
T8	Chick Harbert	United States	68-79-71-72=290	+10	465
T8	Billy Maxwell	United States	70-76-72-72=290	+10	465
T8	Sam Snead	United States	74-74-69-73=290	+10	465
T8	Billy Joe Patton (a)	United States	70-68-76-76=290	+10	0
