Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	6-4-1	John Salter	KO (punches)	Adrenaline MMA 3	1	2:15	Birmingham, Alabama , United States
Draw	6-3-1	Yukiya Naito	Draw	Warriors Realm 3	3	5:00	Brisbane , Australia
Loss	6-3	Elvis Sinosic	KO (punch)	Warriors Realm 1	2	0:35	Queensland , Australia
Loss	6-2	Frank Mir	Submission (armbar)	UFC 34	1	1:05	Las Vegas , Nevada
Win	6-1	Mikhail Borissov	Decision (unanimous)	Rings: King of Kings 2000 Block A	2	5:00	Tokyo , Japan
Loss	5-1	Dave Menne	Decision (unanimous)	Rings: King of Kings 2000 Block A	3	5:00	Tokyo , Japan
Win	5-0	Gueorguiev Tzvetkov	Decision (majority)	Rings: Millennium Combine 2	2	5:00	Tokyo , Japan
Win	4-0	Maxim Tarasov	Submission (rear naked choke)	Absolute Fighting Championship 2	1	2:47	Moscow , Russia
Win	3-0	Leonid Efremov	Submission (punches)	Absolute Fighting Championship 2	1	2:54	Moscow , Russia
Win	2-0	Artyom Vilgulevsky	Submission (rear naked choke)	Absolute Fighting Championship 2	1	2:28	Moscow , Russia
Win	1-0	Dave Berry	Submission (strikes)	UFC 11	1	1:23	Augusta, Georgia , United States
