Year	Winners	Grand Finalist	Scores	Venue	Crowd	Margin	Season Result
1977	Hawthorn	Carlton	14.11 (95) – 11.5 (71)	Waverley Park	27407	24	Preliminary Finalist
1978	Fitzroy	North Melbourne	13.18 (96) – 2.8 (20)	Waverley Park	26420	76	9th
1979	Collingwood	Hawthorn	12.8 (80) – 7.10 (52)	Waverley Park	37753	28	Grand Finalist
1980	North Melbourne	Collingwood	8.9 (57) – 7.12 (54)	Waverley Park	50478	3	Elimination Finalist
1981	Essendon	Carlton	9.11 (65) – 6.5 (41)	Waverley Park	42269	24	Elimination Finalist
1982	Sydney Swans	North Melbourne	13.12 (90) – 8.10 (58)	Waverley Park	20028	32	7th
1983	Carlton	Richmond	14.16 (100) – 10.6 (66)	Waverley Park	32927	34	Elimination Finalist
1984	Essendon	Sydney Swans	13.11 (89) – 5.8 (38)	Waverley Park	30824	51	Premier
1985	Hawthorn	Essendon	11.11 (77) – 10.8 (68)	Waverley Park	24812	9	Grand Finalist
1986	Hawthorn	Carlton	9.12 (66) – 5.6 (36)	Waverley Park	19627	30	Premier
