Episode	Date	Official rating 4+	Share 4+	Official rating 16-39	Share 16-39
1	7 March 2010	4 577 667	27,99%	1 970 605	25,68%
2	14 March 2010	4 670 450	28,12%	1 986 662	25,36%
3	21 March 2010	4 633 925	28,32%	1 910 852	25,35%
4	28 March 2010	4 480 723	26,59%	1 804 227	23,30%
5	4 April 2010	3 848 158	25,79%	1 514 605	22,99%
6	25 April 2010	4 041 457	25,30%	1 528 083	21,99%
7	2 May 2010	3 710 595	26,42%	1 296 170	22,72%
8	9 May 2010	3 981 377	25,41%	1 616 681	23,34%
9	16 May 2010	4 363 045	27,26%	1 672 686	23,86%
10	23 May 2010	4 021 094	26,48%	1 430 880	21,49%
11	30 May 2010	3 777 830	24,40%	1 421 244	20,94%
12	13 June 2010	4 575 752	30,03%	1 718 196	26,11%
