Date	Team	Competition	Round	Opponent	Location	Score
July 7	Gent	Intertoto Cup	Round 2	Cliftonville	Jules Ottenstadion , Ghent	2-0
July 14	Gent	Intertoto Cup	Round 2	Cliftonville	Windsor Park , Belfast	4-0
July 21	Gent	Intertoto Cup	Round 3	Aalborg	Jules Ottenstadion , Ghent	1-1
July 29	Gent	Intertoto Cup	Round 3	Aalborg	Energi Nord Arena , Aalborg	1-2
July 31	Genk	Champions League	Qual. Round 2	Sarajevo	Cristal Arena , Genk	1-2
August 8	Genk	Champions League	Qual. Round 2	Sarajevo	Asim Ferhatović Hase Stadium , Sarajevo	1-0
August 15	Anderlecht	Champions League	Qual. Round 3	Fenerbahçe	Şükrü Saracoğlu Stadium , Istanbul	0-1
August 16	Standard Liège	UEFA Cup	Qual. Round 2	Käerjeng	Stade Josy Barthel , Luxembourg	3-0
August 29	Anderlecht	Champions League	Qual. Round 3	Fenerbahçe	Constant Vanden Stock Stadium , Anderlecht	0-2
August 30	Standard Liège	UEFA Cup	Qual. Round 2	Käerjeng	Stade Maurice Dufrasne , Liège	1-0
September 20	Anderlecht	UEFA Cup	Round 1	Rapid Wien	Constant Vanden Stock Stadium , Anderlecht	1-1
September 20	Club Brugge	UEFA Cup	Round 1	Brann	Brann Stadion , Bergen	1-0
September 20	Standard Liège	UEFA Cup	Round 1	Zenit St. Petersburg	Petrovsky Stadium , Saint Petersburg	0-3
October 4	Anderlecht	UEFA Cup	Round 1	Rapid Wien	Gerhard Hanappi Stadium , Vienna	1-0
October 4	Club Brugge	UEFA Cup	Round 1	Brann	Jan Breydel Stadium , Bruges	1-2
October 4	Standard Liège	UEFA Cup	Round 1	Zenit St. Petersburg	Stade Maurice Dufrasne , Liège	1-1
October 25	Anderlecht	UEFA Cup	Group Stage	Hapoel Tel Aviv	Constant Vanden Stock Stadium , Anderlecht	2-0
November 8	Anderlecht	UEFA Cup	Group Stage	Aalborg	Energi Nord Arena , Aalborg	1-1
December 6	Anderlecht	UEFA Cup	Group Stage	Tottenham Hotspur	Constant Vanden Stock Stadium , Anderlecht	1-1
December 19	Anderlecht	UEFA Cup	Group Stage	Getafe	Coliseum Alfonso Pérez , Getafe	1-2
February 13	Anderlecht	UEFA Cup	Round of 32	Bordeaux	Constant Vanden Stock Stadium , Anderlecht	2-1
February 21	Anderlecht	UEFA Cup	Round of 32	Bordeaux	Stade Chaban-Delmas , Bordeaux	1-1
March 6	Anderlecht	UEFA Cup	Round of 16	Bayern Munich	Constant Vanden Stock Stadium , Anderlecht	0-5
March 12	Anderlecht	UEFA Cup	Round of 16	Bayern Munich	Allianz Arena , Munich	2-1
