Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
31	January 2	Indiana	L 103–105 (OT)	Al Harrington (27)	David Lee (11)	Chris Duhon (7)	Madison Square Garden 19,763	12–19
32	January 4	Boston	W 100–88 (OT)	Wilson Chandler (31)	David Lee (14)	Chris Duhon (5)	Madison Square Garden 19,763	13–19
33	January 6	@ Oklahoma City	L 99–107 (OT)	Al Harrington (21)	David Lee (13)	Chris Duhon (6)	Ford Center 18,487	13–20
34	January 8	@ Dallas	L 94–99 (OT)	Chris Duhon (24)	David Lee (15)	Chris Duhon (7)	American Airlines Center 19,779	13–21
35	January 10	@ Houston	L 76–96 (OT)	Tim Thomas (18)	David Lee (11)	Chris Duhon (6)	Toyota Center 18,280	13–22
36	January 12	@ New Orleans	W 101–95 (OT)	David Lee (24)	Al Harrington (10)	Chris Duhon (9)	New Orleans Arena 16,177	14–22
37	January 14	Washington	W 128–122 (OT)	David Lee (30)	David Lee (10)	Chris Duhon (9)	Madison Square Garden 18,020	15–22
38	January 16	@ Washington	L 89–96 (OT)	Al Harrington (18)	David Lee (21)	Chris Duhon (8)	Verizon Center 17,526	15–23
39	January 17	Philadelphia	L 97–107 (OT)	Al Harrington (26)	David Lee (11)	Nate Robinson (7)	Madison Square Garden 19,408	15–24
40	January 19	Chicago	W 102–98 (OT)	Quentin Richardson (24)	David Lee (10)	Chris Duhon , Nate Robinson , David Lee (3)	Madison Square Garden 18,807	16–24
41	January 21	Phoenix	W 114–109 (OT)	David Lee (25)	David Lee (16)	Chris Duhon (7)	Madison Square Garden 19,256	17–24
42	January 23	Memphis	W 108–88 (OT)	David Lee (19)	David Lee (14)	Chris Duhon (7)	Madison Square Garden 18,391	18–24
43	January 24	@ Philadelphia	L 110–116 (OT)	Nate Robinson (26)	David Lee (10)	Nate Robinson (6)	Wachovia Center 19,239	18–25
44	January 26	Houston	W 104–98 (OT)	Nate Robinson (19)	David Lee (13)	Chris Duhon (11)	Madison Square Garden 19,155	19–25
45	January 28	Atlanta	W 112–104 (OT)	Nate Robinson (24)	David Lee (16)	Chris Duhon (11)	Madison Square Garden 18,180	20–25
46	January 31	@ Indiana	W 122–113 (OT)	Al Harrington (31)	David Lee (17)	Chris Duhon (7)	Conseco Fieldhouse 15,067	21–25
