Week	Date	Opponent	Result	Attendance
1	September 9, 1962	at Buffalo Bills	W 28–23	31,236
2	September 16, 1962	at Boston Patriots	L 34–21	32,276
3	September 29, 1962	at San Diego Chargers	W 42–17	28,061
4	Bye	Bye	Bye	Bye
5	October 7, 1962	Buffalo Bills	W 17–14	26,350
6	October 14, 1962	New York Titans	W 56–17	20,650
7	October 21, 1962	at Denver Broncos	L 20–10	29,017
8	October 28, 1962	Dallas Texans	L 31–7	31,750
9	November 4, 1962	at Dallas Texans	W 14–6	29,017
10	November 11, 1962	at Oakland Raiders	W 28–20	11,000
11	November 18, 1962	Boston Patriots	W 21–17	35,250
12	November 25, 1962	San Diego Chargers	W 33–27	28,235
13	December 2, 1962	Denver Broncos	W 34–17	30,650
14	December 9, 1962	Oakland Raiders	W 32–17	27,400
15	December 15, 1962	at New York Titans	W 44–10	8,167
