Period	Team	Goal	Assist(s)	Time	Score
1st	CHI	Kris Versteeg (11) ( PP )	Martin Havlat (18), Brent Seabrook (7)	3:24	1–0 CHI
1st	DET	Mikael Samuelsson (8) (PP)	Henrik Zetterberg (18), Marian Hossa (18)	9:50	1–1
1st	CHI	Martin Havlat (10) (PP)	Kris Versteeg (20), Brian Campbell (21)	12:37	2–1 CHI
1st	CHI	Ben Eager (7)	Martin Havlat (19)	19:18	3–1 CHI
2nd	DET	Jiri Hudler (14)	Marian Hossa (19), Henrik Zetterberg (19)	1:14	3–2 CHI
2nd	DET	Jiri Hudler (15)	Brian Rafalski (24), Nicklas Lidstrom (20)	12:43	3–3
2nd	DET	Pavel Datsyuk (16)	Johan Franzen (10), Brian Rafalski (25)	17:17	4–3 DET
3rd	DET	Brian Rafalski (5) (PP)	Jiri Hudler (17), Tomas Holmstrom (13)	3:07	5–3 DET
3rd	DET	Brett Lebda (3)	Henrik Zetterberg (20), Marian Hossa (20)	3:24	6–3 DET
3rd	CHI	Duncan Keith (5) (PP)	Patrick Sharp (12), Jonathan Toews (20)	19:50	6–4 DET
