Date	Visitor	Score	Home	Record
October 7	Chicago Blackhawks	5–3	Columbus Blue Jackets	0–1–0–0
October 9	Los Angeles Kings	7–1	Columbus Blue Jackets	0–2–0–0
October 12	Columbus Blue Jackets	3–2	Calgary Flames	1–2–0–0
October 14	Columbus Blue Jackets	1–3	Colorado Avalanche	1–3–0–0
October 15	Columbus Blue Jackets	1–2	Chicago Blackhawks	1–4–0–0
October 18	Colorado Avalanche	5–1	Columbus Blue Jackets	1–5–0–0
October 21	Columbus Blue Jackets	2–5	Pittsburgh Penguins	1–6–0–0
October 22	Detroit Red Wings	2–1	Columbus Blue Jackets	1–6–0–1
October 25	San Jose Sharks	3–1	Columbus Blue Jackets	1–7–0–1
October 27	Washington Capitals	1–3	Columbus Blue Jackets	2–7–0–1
October 28	Columbus Blue Jackets	1–4	Detroit Red Wings	2–8–0–1
October 31	Los Angeles Kings	1–4	Columbus Blue Jackets	3–8–0–1
November 1	Columbus Blue Jackets	0–4	Dallas Stars	3–9–0–1
November 4	Columbus Blue Jackets	2–2	Ottawa Senators	3–9–1–1
November 5	Edmonton Oilers	4–2	Columbus Blue Jackets	3–10–1–1
November 9	San Jose Sharks	2–5	Columbus Blue Jackets	4–10–1–1
November 11	Phoenix Coyotes	1–2	Columbus Blue Jackets	5–10–1–1
November 13	Dallas Stars	2–3	Columbus Blue Jackets	6–10–1–1
November 16	Columbus Blue Jackets	5–1	Nashville Predators	7–10–1–1
November 17	Florida Panthers	3–0	Columbus Blue Jackets	7–11–1–1
November 19	Vancouver Canucks	6–1	Columbus Blue Jackets	7–12–1–1
November 21	Columbus Blue Jackets	2–5	Colorado Avalanche	7–13–1–1
November 24	Columbus Blue Jackets	0–3	Dallas Stars	7–14–1–1
November 25	Dallas Stars	4–2	Columbus Blue Jackets	7–15–1–1
November 29	Philadelphia Flyers	4–3	Columbus Blue Jackets	7–16–1–1
December 2	Atlanta Thrashers	2–1	Columbus Blue Jackets	7–17–1–1
December 3	Columbus Blue Jackets	0–5	Chicago Blackhawks	7–18–1–1
December 6	Mighty Ducks of Anaheim	2–5	Columbus Blue Jackets	8–18–1–1
December 8	Boston Bruins	2–3	Columbus Blue Jackets	9–18–1–1
December 10	Columbus Blue Jackets	1–1	Phoenix Coyotes	9–18–2–1
December 13	Columbus Blue Jackets	3–4	Mighty Ducks of Anaheim	9–18–2–2
December 14	Columbus Blue Jackets	1–2	San Jose Sharks	9–19–2–2
December 16	Columbus Blue Jackets	3–4	Vancouver Canucks	9–20–2–2
December 18	Columbus Blue Jackets	2–0	Montreal Canadiens	10–20–2–2
December 21	Ottawa Senators	3–3	Columbus Blue Jackets	10–20–3–2
December 23	Columbus Blue Jackets	7–5	New York Islanders	11–20–3–2
December 26	Columbus Blue Jackets	0–5	St. Louis Blues	11–21–3–2
December 27	Columbus Blue Jackets	2–2	New Jersey Devils	11–21–4–2
December 29	Carolina Hurricanes	1–3	Columbus Blue Jackets	12–21–4–2
December 31	New Jersey Devils	6–3	Columbus Blue Jackets	12–22–4–2
January 3	Edmonton Oilers	2–5	Columbus Blue Jackets	13–22–4–2
January 6	Columbus Blue Jackets	3–4	Vancouver Canucks	13–23–4–2
January 7	Columbus Blue Jackets	2–4	Edmonton Oilers	13–24–4–2
January 10	Colorado Avalanche	4–2	Columbus Blue Jackets	13–25–4–2
January 12	Chicago Blackhawks	3–1	Columbus Blue Jackets	13–26–4–2
January 15	Minnesota Wild	0–3	Columbus Blue Jackets	14–26–4–2
January 17	Columbus Blue Jackets	2–3	Minnesota Wild	14–26–4–3
January 21	Tampa Bay Lightning	1–3	Columbus Blue Jackets	15–26–4–3
January 23	Columbus Blue Jackets	2–1	Buffalo Sabres	16–26–4–3
January 27	Mighty Ducks of Anaheim	1–2	Columbus Blue Jackets	17–26–4–3
January 31	Detroit Red Wings	3–2	Columbus Blue Jackets	17–26–4–4
February 1	Columbus Blue Jackets	2–2	St. Louis Blues	17–26–5–4
February 6	St. Louis Blues	2–2	Edmonton Oilers	17–26–6–4
February 8	Columbus Blue Jackets	1–3	Nashville Predators	17–27–6–4
February 10	Nashville Predators	2–3	Columbus Blue Jackets	18–27–6–4
February 12	New York Rangers	4–3	Columbus Blue Jackets	18–28–6–4
February 14	Columbus Blue Jackets	2–2	Toronto Maple Leafs	18–28–7–4
February 16	Columbus Blue Jackets	2–4	Detroit Red Wings	18–29–7–4
February 17	Pittsburgh Penguins	3–2	Columbus Blue Jackets	18–29–7–5
February 20	Columbus Blue Jackets	2–3	San Jose Sharks	18–29–7–6
February 21	Columbus Blue Jackets	2–3	Phoenix Coyotes	18–30–7–6
February 24	Columbus Blue Jackets	1–3	Los Angeles Kings	18–31–7–6
February 25	Columbus Blue Jackets	5–2	Mighty Ducks of Anaheim	19–31–7–6
February 28	Phoenix Coyotes	2–5	Columbus Blue Jackets	20–31–7–6
March 1	Columbus Blue Jackets	5–2	Nashville Predators	21–31–7–6
March 7	Columbus Blue Jackets	1–2	Carolina Hurricanes	21–32–7–6
March 9	Columbus Blue Jackets	7–6	Florida Panthers	22–32–7–6
March 10	Columbus Blue Jackets	1–4	Tampa Bay Lightning	22–33–7–6
March 14	Calgary Flames	0–3	Columbus Blue Jackets	23–33–7–6
March 16	Columbus Blue Jackets	3–0	Atlanta Thrashers	24–33–7–6
March 17	New York Islanders	3–3	Columbus Blue Jackets	24–33–8–6
March 19	Nashville Predators	2–1	Columbus Blue Jackets	24–34–8–6
March 21	Vancouver Canucks	1–1	Columbus Blue Jackets	24–34–9–6
March 24	Calgary Flames	4–6	Columbus Blue Jackets	25–34–9–6
March 26	Columbus Blue Jackets	2–4	Edmonton Oilers	25–35–9–6
March 27	Columbus Blue Jackets	0–3	Calgary Flames	25–36–9–6
March 29	Columbus Blue Jackets	0–3	Los Angeles Kings	25–37–9–6
April 1	St. Louis Blues	1–2	Columbus Blue Jackets	26–37–9–6
April 3	Detroit Red Wings	1–2	Columbus Blue Jackets	27–37–9–6
April 5	Columbus Blue Jackets	1–4	St. Louis Blues	27–38–9–6
April 6	Columbus Blue Jackets	2–3	Minnesota Wild	27–39–9–6
April 8	Chicago Blackhawks	3–4	Columbus Blue Jackets	28–39–9–6
