Colt model no.	Name	Stock	Fire control	Rear sight	Forward assist	Case deflector	Barrel length	Barrel profile	Barrel twist	Hand guards	Bayonet Lug	Muzzle device
R6000	AR-15 Sporter (SP1)	A1	S-1	A1	No	No	20 in.	A1	1:12	Triangular	Yes	Type 2 Duckbill or A1
R6001	AR-15 Sporter Carbine (SP1 Carbine)	2nd Generation	S-1	A1	No	No	16 in.	A1	1:12	Short Ribbed	Yes	A1
R6002	AR-15 Sporter (SP1; Bundled with 3x scope)	A1	S-1	A1	No	No	20 in.	A1	1:12	Triangular	Yes	A1
R6420	AR-15A2 Sporter II Carbine	3rd Generation	S-1	A1	Yes	No & Yes	16 in.	A1	1:7	Short Ribbed	Yes	A2
R6430	Sporter Lightweight (9mm)	A2	S-1	A1	No	Removable	16 in.	A1	1:10	Short Ribbed	Yes	A1
R6450	AR-15 9mm Carbine	3rd Generation	S-1	A1	No	No & Removable	16 in.	A1	1:10	Short Ribbed	Yes	A1
R6500	AR-15A2 Sporter II	A2	S-1	A1	Yes	No & Yes	20 in.	A2	1:7	Ribbed	Yes	A2
R6520	AR-15A2 Government Carbine	3rd Generation	S-1	A2	Yes	Yes	16 in.	A1	1:7	Short Ribbed	Yes	A2
R6530	Sporter Lightweight .223	3rd Generation	S-1	A2	Yes	Yes	16 in.	A1	1:7	Short Ribbed	No	A2
R6550	AR-15A2 Government	A2	S-1	A2	Yes	Yes	20 in.	A2	1:7	Ribbed	Yes	A2
R6550CC	AR-15A2 Government (w/ factory camouflage finish)	A2	S-1	A2	Yes	Yes	20 in.	A2	1:7	Ribbed	Yes	A2
R6551	Sporter Target	A2	S-1	A2	Yes	Yes	20 in.	A2	1:7	Ribbed	No	A2
R6600	AR-15A2 HBAR	A2	S-1	A2	Yes	Yes	20 in.	HBAR	1:7	Ribbed	Yes	A2
R6601	Sporter Match HBAR	A2	S-1	A2	Yes	Yes	20 in.	HBAR	1:7	Ribbed	No	A2
R6700	Sporter Competition HBAR	A2	S-1	Flattop	Yes	Yes	20 in.	HBAR	1:9	Ribbed	No	A2
R6721	AR-15A3 Tactical Carbine	4th Generation	S-1	A2	Yes	Yes	16 in.	HBAR	1:9	Short Ribbed	Yes	A2
R6724	Sporter Competition HBAR	A2	S-1	Flattop	Yes	Yes	24 in.	HBAR	1:9	Ribbed	No	A2
R6731	AR-15A3 Competition HBAR	A2	S-1	A2	Yes	Yes	16 in.	HBAR	1:9	Short Ribbed	No	A2
R6750	Sporter Competition HBAR (bundled w/ bipod)	A2	S-1	A2	Yes	Yes	20 in.	Super-Heavy	1:7	Ribbed	No	A2
R6821	Sporter Carbine (7.62x39mm)	3rd Generation	S-1	A2	Yes	Yes	16 in.	HBAR	1:12	Short Ribbed	No	A1
