Round #	Pick #	Player	Position	Nationality	College/junior/club team
1	6	Craig Redmond	Defence	Canada	University of Denver ( WCHA )
2	24	Brian Wilks	Centre	Canada	Kitchener Rangers (OHL)
3	48	John English	Defence	Canada	Sault Ste. Marie Greyhounds (OHL)
4	69	Tom Glavine	Centre	United States	Billerica High School (Massachusetts)
5	87	David Grannis	Left wing	United States	South St. Paul High School (Minnesota)
6	108	Greg Strome	Goaltender	Canada	University of North Dakota (WCHA)
7	129	Timothy Hanley	Centre	United States	Deerfield Academy (Massachusetts)
8	150	Shannon Deegan	Centre	Canada	University of Vermont (ECAC)
9	171	Luc Robitaille	Left wing	Canada	Hull Olympiques (QMJHL)
10	191	Jeff Crossman	Centre	Canada	Western Michigan University (CCHA)
