Outcome	Date	Championship	Surface	Opponent	Score
Winner	8 April 1991	Hong Kong, UK	Hard	Wally Masur	6–2, 3–6, 6–3
Runner-up	13 April 1992	Tokyo , Japan	Hard	Jim Courier	4–6, 4–6, 6–7 (3–7)
Winner	10 August 1992	Los Angeles , USA	Hard	Mark Woodforde	6–4, 2–6, 6–4
Winner	16 November 1992	Antwerp , Belgium	Carpet (i)	Mark Woodforde	6–2, 6–2
Runner-up	22 February 1993	Stuttgart , Germany	Carpet (i)	Michael Stich	6–4, 5–7, 6–7 (4–7) , 6–3, 5–7
Winner	9 August 1993	Los Angeles, USA	Hard	Michael Chang	0–6, 7–6 (7–3) , 7–6 (7–5)
Winner	11 April 1994	Barcelona , Spain	Clay	Carlos Costa	6–4, 7–6 (8–6) , 6–2
Winner	13 June 1994	Rosmalen , Netherlands	Grass	Karsten Braasch	6–3, 6–4
Winner	10 October 1994	Sydney, Australia	Hard (i)	Boris Becker	7–6 (7–5) , 7–6 (9–7) , 2–6, 6–3
Winner	27 February 1995	Stuttgart , Germany	Carpet (i)	Michael Stich	7–6 (7–4) , 6–3, 6–7 (6–8) , 1–6, 6–3
Winner	6 March 1995	Rotterdam , Netherlands	Carpet (i)	Paul Haarhuis	7–6 (7–5) , 6–4
Runner-up	21 August 1995	New Haven , USA	Hard	Andre Agassi	6–3, 6–7 (2–7) , 3–6
Runner-up	20 May 1996	Rome , Italy	Clay	Thomas Muster	2–6, 4–6, 6–3, 3–6
Winner	8 July 1996	Wimbledon , London, UK	Grass	MaliVai Washington	6–3, 6–4, 6–3
Runner-up	5 August 1996	Los Angeles , USA	Hard	Michael Chang	4–6, 3–6
Winner	10 March 1997	Rotterdam, Netherlands	Carpet (i)	Daniel Vacek	7–6 (7–4) , 7–6 (7–5)
Winner	21 April 1997	Tokyo , Japan	Hard	Lionel Roux	6–2, 3–6, 6–1
Winner	23 June 1997	Rosmalen, Netherlands	Grass	Guillaume Raoux	6–4, 7–6 (9–7)
Runner-up	27 October 1997	Stuttgart, Germany	Carpet (i)	Petr Korda	6–7 (6–8) , 2–6, 4–6
Winner	16 February 1998	St. Petersburg , Russia	Carpet (i)	Marc Rosset	6–4, 7–6 (7–5)
Runner-up	10 August 1998	Toronto , Canada	Hard	Patrick Rafter	6–7 (3–7) , 4–6
Winner	2 November 1998	Stuttgart, Germany	Hard (i)	Yevgeny Kafelnikov	6–4, 6–3, 6–3
Winner	1 March 1999	London, UK	Carpet (i)	Greg Rusedski	7–6 (8–6) , 6–7 (5–7) , 7–5
Winner	29 March 1999	Miami , USA	Hard	Sébastien Grosjean	4–6, 6–1, 6–2, 7–5
Runner-up	1 November 1999	Stuttgart, Germany	Hard (i)	Thomas Enqvist	1–6, 4–6, 7–5, 5–7
Runner-up	19 June 2000	Halle , Germany	Grass	David Prinosil	3–6, 2–6
