Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - Climax	32	2:06:40.5	6
Bruce McLaren	Cooper - Climax	32	+ 3.4	7
Jack Brabham	Brabham - Climax	32	+ 48.1	3
Richie Ginther	BRM	32	+ 1:58.6	8
Graham Hill	BRM	31	Fuel Pump	2
Dan Gurney	Brabham - Climax	31	Out of Fuel	1
Trevor Taylor	BRP - BRM	31	+ 1 lap	12
Giancarlo Baghetti	BRM	31	+ 1 lap	17
Peter Arundell	Lotus - Climax	28	Overheating	4
Innes Ireland	BRP - BRM	28	+ 4 laps	16
Peter Revson	Lotus - Climax	28	Disqualified	10
Jo Siffert	Brabham - Climax	14	Engine	13
Phil Hill	Cooper - Climax	13	Engine	15
Lorenzo Bandini	Ferrari	12	Engine	9
André Pilette	Scirocco - Climax	11	Engine	20
Jo Bonnier	Brabham - Climax	8	Unwell	14
John Surtees	Ferrari	4	Engine	5
Chris Amon	Lotus - BRM	3	Engine	11
