Event	Time	Swimmer	School	Year
50 freestyle	19.83	Nick Schuttinger	Oklahoma Baptist University	2013
100 freestyle	43.94	David Hibberd	Simon Fraser (B.C.)	2011
200 freestyle	1:36.87	Nick Schuttinger	Oklahoma Baptist University	2013
500 freestyle	4:24.63	Alex Graudins	SCAD	2012
1650 freestyle	15:23.97	Alex Graudins	SCAD	2012
100 backstroke	47.61	Daniel Ramirez	Oklahoma Baptist University	2013
200 backstroke	1:45.61	Ryan Searles	SCAD	2012
100 breaststroke	53.06	Bryan Haile	California Baptist University	2009
200 breaststroke	1:59.10	Sergio Molina	California Baptist University	2011
100 butterfly	47.30	Nick Schuttinger	Oklahoma Baptist University	2013
200 butterfly	1:46.62	Javier Hernandez	Lindenwood	2011
200 individual medley	1:47.55	David Hibberd	Simon Fraser (B.C.)	2011
400 individual medley	3:53.67	Kevin Sellars	California Baptist University	2010
200 medley relay	1:27.66	Ramirez, Penny, Sullivan, Lassley	Oklahoma Baptist University	2013
400 medley relay	3:15.27	Kosov, Tanasovski, Bernard, Marie-Rose	Fresno Pacific	2012
200 freestyle relay	1:19.50	Ramirez, Schuttinger, Sullivan, Lasley	Oklahoma Baptist	2013
400 freestyle relay	2:57.83	Maciunial, Schuttinger, Maciuniak, Ramirez	Oklahoma Baptist	2013
800 freestyle relay	6:39.17	Sossa, Cantrelle, Nelson, Schuttinger	Oklahoma Baptist	2012
