Player	Solo	Total	Sacks	Fumble force	Fumble rec
Anthony Gebhart	15	31	0	0	0
C.J. Wilson	10	26	0	1	0
Dustin Duclo	13	25	0	0	0
Boston McCornell	8	23	½	1	0
Londen Fryar	15	26	0	0	0
E. J. Biggers	12	16	0	1	1
Zach Davidson	6	15	1½	0	0
Nick Varcadipane	3	12	0	0	0
Austin Pritchard	5	11	0	0	0
Mark Berghuis	4	8	½	1	0
Justin Braska	3	8	½	0	0
Cody Cielenski	4	8	½	0	0
Greg Marshall	2	8	½	0	0
Andy Dorcely	5	7	0	0	0
Cory Flom	1	7	0	0	0
Harrison Porter	1	7	0	0	0
Desman Stephen	2	5	0	0	0
Cornelius Robinson	1	4	0	0	0
Mario Armstrong	3	4	0	0	0
Matt Pickens	1	3	0	0	0
Scott Gajos	2	3	0	0	0
Grant Nemeth	0	3	0	0	0
Garrett Sosnovich	1	3	0	0	0
Fernand Kashama	1	2	0	0	0
Louis Delmas	1	2	0	0	0
Brandon West	2	2	0	0	0
Antwain Allen	0	1	0	0	0
Nic Saad	0	1	0	0	0
Herb Martin	1	1	0	0	0
Mike Jones	1	1	0	0	0
Glenis Thompson	1	1	0	0	0
Phillip Thompson	1	1	0	0	0
Jim Laney	1	1	0	0	0
Phillip Swanson	1	1	0	0	0
Kirk Elsworth	1	1	0	0	0
Tom Harrington	0	0	0	0	1
