County	Obama%	Obama#	McCain%	McCain#
Adams	59.01%	7630	40.99%	5300
Alcorn	27.51%	3701	72.49%	9752
Amite	44.07%	3320	55.93%	4214
Attala	41.79%	3739	58.21%	5209
Benton	48.85%	2224	51.15%	2329
Bolivar	67.85%	9471	32.15%	4487
Calhoun	35.53%	2242	64.47%	4068
Carroll	34.28%	2027	65.72%	3886
Chickasaw	50.74%	4053	49.26%	3934
Choctaw	35.73%	1459	64.27%	2624
Claiborne	84.93%	3561	15.07%	632
Clarke	36.82%	2727	63.18%	4679
Clay	59.28%	6424	40.72%	4412
Coahkoma	73.52%	6947	26.48%	2502
Copiah	53.34%	7640	46.66%	6683
Covington	41.01%	3826	58.99%	5503
DeSoto	30.69%	19265	69.31%	43510
Forrest	43.18%	11622	56.82%	15296
Franklin	37.29%	1722	62.71%	2896
George	16.55%	1398	83.45%	7050
Greene	23.81%	1362	76.19%	4358
Grendada	44.56%	4995	55.44%	6215
Hancock	21.57%	3195	78.43%	11614
Harrison	36.90%	22175	63.10%	37927
Hinds	70.21%	68794	29.79%	29187
Holmes	82.20%	6945	17.80%	1504
Hump	71.90%	3180	28.10%	1243
Issaquena	61.89%	523	38.11%	322
Itawamba	21.12%	1938	78.88%	7240
Jackson	32.03%	15534	67.97%	32959
Jasper	55.01%	4476	44.99%	3660
JD	60.97%	3924	39.03%	2512
Jefferson	87.98%	3295	12.02%	450
Jones	30.17%	8089	69.83%	18726
Kemper	62.93%	2876	37.07%	1694
Lafayette	43.76%	7997	56.24%	10278
Lamar	21.67%	4694	78.33%	16969
Lauderdale	40.25%	13048	59.75%	19368
Lawrence	36.79%	2513	63.21%	4318
Leake	44.22%	3575	55.78%	4509
Lee	34.44%	11769	65.56%	22403
Leflore	68.47%	8914	31.53%	4105
Lincoln	33.80%	5505	66.20%	10781
Lowndes	48.48%	13110	51.52%	13934
Madison	42.12%	18034	57.88%	24781
Marion	33.87%	3764	66.13%	7350
Marshall	59.01%	9573	40.99%	6650
Monroe	41.25%	7137	58.75%	10165
Mont	45.96%	2244	54.04%	2638
Neshoba	26.40%	2584	73.60%	7205
Newton	32.58%	3063	67.42%	6338
Nox	76.73%	4970	23.27%	1507
Okt	50.02%	9326	49.98%	9320
Panola	52.69%	8370	47.31%	7515
PR	18.74%	3727	81.26%	16156
Perry	27.35%	1521	72.65%	4040
Pike	51.68%	7958	48.32%	7441
Pont	23.41%	2951	76.59%	9656
Prent	28.16%	3020	71.84%	7703
Quitman	67.71%	2797	32.29%	1334
Rankin	23.00%	14235	77.00%	47645
Scott	43.15%	4709	56.85%	6205
Sharkey	68.72%	1722	31.28%	784
Simpson	39.74%	4393	60.26%	6660
Smith	24.16%	1821	75.84%	5715
Stone	27.25%	1746	72.75%	4661
Sun	71.17%	7158	28.83%	2900
Tall	59.96%	3646	40.04%	2435
Tate	39.32%	4951	60.68%	7639
Tippah	26.97%	2514	73.03%	6809
Tish	23.86%	1941	76.14%	6195
Tunica	77.15%	2917	22.85%	864
Union	24.73%	2727	75.27%	8302
Walthall	44.63%	3421	55.37%	4244
Warren	48.84%	9502	51.16%	9953
Washington	67.25%	12884	32.75%	6274
Wayne	38.93%	3860	61.07%	6056
Webster	24.68%	1321	75.32%	4032
Wilk	69.21%	3498	30.79%	1556
Winston	45.70%	4606	54.30%	5473
Yalo	46.27%	3104	53.73%	3604
