No.	Title	Directed by	Written by	Original air date	Production code	Television order
1	" The Rise of the Blue Beetle! "	Ben Jones	Michael Jelenic	November14,2008	101	S01E01
2	"Terror on Dinosaur Island!"	Brandon Vietti	Steven Melching	November21,2008	102	S01E02
3	"Evil Under the Sea!"	Michael Chang	Joseph Kuhr	December5,2008	103	S01E03
4	"Day of the Dark Knight!"	Ben Jones	J. M. DeMatteis	January2,2009	104	S01E04
5	"Invasion of the Secret Santas!"	Brandon Vietti	Adam Beechen	December12,2008	105	S01E05
6	"Enter the Outsiders!"	Michael Chang	Todd Casey	January9,2009	106	S01E06
7	"Dawn of the Dead Man!"	Ben Jones	Steven Melching	January16,2009	107	S01E07
8	"Fall of the Blue Beetle!"	Brandon Vietti	James Krieg	January23,2009	108	S01E08
9	"Journey to the Center of the Bat!"	Michael Chang	Matt Wayne	January30,2009	109	S01E09
10	"The Eyes of Despero!"	Ben Jones	J. M. DeMatteis	February6,2009	110	S01E10
11	"Return of the Fearsome Fangs!"	Brandon Vietti	Todd Casey	February20,2009	111	S01E11
12	"Deep Cover for Batman!"	Michael Chang	Joseph Kuhr	February27,2009	112	S01E12
13	"Game Over for Owlman!"	Ben Jones	Joseph Kuhr	March6,2009	113	S01E13
14	"Mystery in Space!"	Brandon Vietti	James Krieg	March13,2009	114	S01E14
15	"Trials of the Demon!"	Michael Chang	Todd Casey	March20,2009	115	S01E15
16	"Night of the Huntress!"	Ben Jones	Adam Beechen	May8,2009	116	S01E16
17	"Menace of the Conqueror Caveman!"	Brandon Vietti	Matt Wayne	May15,2009	117	S01E17
18	"The Color of Revenge!"	Michael Chang	Todd Casey	May22,2009	118	S01E18
19	"Legends of the Dark Mite!"	Ben Jones	Paul Dini	May29,2009	119	S01E19
20	"Hail the Tornado Tyrant!"	Brandon Vietti	J. M. DeMatteis	June5,2009	120	S01E20
21	"Duel of the Double Crossers!"	Michael Chang	Todd Casey	June12,2009	121	S01E21
22	"Last Bat on Earth!"	Ben Jones	Steven Melching	June19,2009	122	S01E22
23	"When OMAC Attacks!"	Brandon Vietti	Stan Berkowitz	July18,2009 October16,2009	123	S01E23
24	"The Fate of Equinox!"	Michael Chang	Joseph Kuhr	July25,2009 November13,2009	124	S01E24
25	" Mayhem of the Music Meister! "	Ben Jones	Michael Jelenic	September22,2009 October23,2009	125	S01E25
