Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Ontario	Glenn Howard	11	0	90	45	50	35	8	15	88
Northern Ontario	Brad Jacobs	9	2	80	54	49	39	6	17	84
Alberta	Kevin Koe	8	3	81	62	45	42	9	11	85
Newfoundland and Labrador	Brad Gushue	8	3	79	53	45	35	9	11	84
Manitoba	Jeff Stoughton	7	4	71	58	45	41	9	12	83
Quebec	Serge Reid	5	6	60	71	41	42	8	9	76
Saskatchewan	Darrell McKee	4	7	70	79	44	44	5	7	80
British Columbia	Jeff Richard	4	7	68	71	43	45	9	6	79
New Brunswick	James Grattan	3	8	56	71	38	47	11	6	79
Nova Scotia	Ian Fitzner-LeBlanc	3	8	62	90	38	54	2	5	76
Prince Edward Island	Rod MacDonald	3	8	64	75	44	47	8	7	80
