Game	Date	Opponent	Result	49ers points	Opponents	Record	Streak	Attendance
1	September 15	Minnesota Vikings	L	20	24	0-1	L3 (from 1962 )	30,781
2	September 22	Baltimore Colts	L	14	20	0-2	L4 (from 1962 )	31,006
3	September 29	at Minnesota Vikings	L	14	45	0-3	L5 (from ( 1962 )	28,567
4	October 6	at Detroit Lions	L	3	26	0-4	L6 (from 1962 )	44,088
5	October 13	at Baltimore Colts	L	3	20	0-5	L7 (from 1962 )	56,962
6	October 20	Chicago Bears	W	20	14	1-5	W1	35,837
7	October 27	at Los Angeles Rams	L	21	28	1-6	L1	45,532
8	November 3	Detroit Lions	L	7	45	1-7	L2	33,511
9	November 10	Dallas Cowboys	W	31	24	2-7	W1	29,563
10	November 17	at New York Giants	L	14	48	2-8	L1	62,982
11	November 24	at Green Bay Packers	L	10	28	2-9	L2	45,905
12	December 1	Los Angeles Rams	L	17	21	2-10	L3	33,321
13	December 8	at Chicago Bears	L	7	27	2-11	L4	46,994
14	December 14	Green Bay Packers	L	17	21	2-12	L5	31,031
