Place	Player	Country	Score	To par
1	Tiger Woods	United States	71-63=134	–6
2	Scott Verplank	United States	70-66=136	–4
T3	Stephen Ames	Canada	68-69=137	–3
T3	Geoff Ogilvy	Australia	69-68=137	–3
5	Woody Austin	United States	68-70=138	–2
T6	Niclas Fasth	Sweden	71-68=139	–1
T6	Pat Perez	United States	70-69=139	–1
T6	John Senden	Australia	69-70=139	–1
T9	John Daly	United States	67-73=140	E
T9	Ernie Els	South Africa	72-68=140	E
T9	Paul McGinley	Ireland	74-66=140	E
T9	Arron Oberholser	United States	68-72=140	E
T9	Adam Scott	Australia	72-68=140	E
T9	Camilo Villegas	Colombia	69-71=140	E
