Round	Pick	Position	Team	College
T	–	F/C	St. Louis Bombers	Saint Louis
T	–	F/C	Minneapolis Lakers	Hamline
1	1	G/F	Providence Steamrollers	Kansas State
1	2	C	Indianapolis Olympians	Kentucky
1	3	F/C	Fort Wayne Pistons	Oklahoma State
1	4	F	Boston Celtics	Yale
1	5	F/C	Philadelphia Warriors	Utah
1	6	C	Baltimore Bullets	Wyoming
1	7	G	New York Knicks	St. John's
1	8	F	Washington Capitols	Kentucky
1	9	F/C	Chicago Stags	Loyola (IL)
1	10	G/F	Rochester Royals	Seton Hall
2	–	G/F	Indianapolis Olympians	Notre Dame
2	–	G	Chicago Stags	Kentucky
2	–	F/C	Rochester Royals	Louisville
2	–	G	New York Knicks	Muhlenberg
2	–	F	Boston Celtics	Holy Cross
2	–	C	Philadelphia Warriors	Georgia Tech
2	–	G	Fort Wayne Pistons	Western Kentucky
2	–	F	St. Louis Bombers	Beloit
2	–	G	Washington Capitols	Baylor
