Date	Opponent	Venue	Result	Attendance
17 August 2002	Charlton Athletic	A	2-3	25,640
23 August 2002	Manchester United	H	2-2	41,541
28 August 2002	Southampton	A	1-1	31,208
1 September 2002	Arsenal	H	1-1	40,037
11 September 2002	Blackburn Rovers	A	2-3	22,999
14 September 2002	Newcastle United	H	3-0	39,746
23 September 2002	Fulham	A	0-0	16,503
28 September 2002	West Ham United	H	2-3	38,929
6 October 2002	Liverpool	A	1-0	43,856
19 October 2002	Manchester City	A	0-3	34,956
26 October 2002	West Bromwich Albion	H	2-0	40,893
3 November 2002	Tottenham Hotspur	A	0-0	36,049
9 November 2002	Birmingham City	H	3-0	35,237
16 November 2002	Middlesbrough	H	1-0	39,064
23 November 2002	Bolton Wanderers	A	1-1	25,476
30 November 2002	Sunderland	H	3-0	38,946
7 December 2002	Everton	A	1-3	39,396
14 December 2002	Middlesbrough	A	1-1	29,160
21 December 2002	Aston Villa	H	2-0	38,284
26 December 2002	Southampton	H	0-0	39,428
28 December 2002	Leeds United	A	2-0	40,122
1 January 2003	Arsenal	A	3-2	38,096
11 January 2003	Charlton Athletic	H	4-1	37,284
18 January 2003	Manchester United	A	2-1	67,606
28 January 2003	Leeds United	H	3-2	39,738
1 February 2003	Tottenham Hotspur	H	1-1	41,384
8 February 2003	Birmingham City	A	1-3	29,475
22 February 2003	Blackburn Rovers	H	1-2	40,850
1 March 2003	Newcastle United	A	2-1	52,157
16 March 2003	West Bromwich Albion	A	0-2	27,024
22 March 2003	Manchester City	H	5-0	41,105
5 April 2003	Sunderland	A	1-2	40,011
12 April 2003	Bolton Wanderers	H	1-0	39,852
19 April 2003	Aston Villa	A	2-1	39,358
21 April 2003	Everton	H	4-1	40,875
26 April 2003	Fulham	H	1-1	40,792
3 May 2003	West Ham United	A	1-0	35,042
11 May 2003	Liverpool	H	2-1	41,911
