Date	Visitor	Score	Home	Record
November 6	Brooklyn Americans	0–1	Chicago Black Hawks	1–0–0
November 8	Chicago Black Hawks	2–2	Montreal Canadiens	1–0–1
November 13	Chicago Black Hawks	2–1	Brooklyn Americans	2–0–1
November 16	Detroit Red Wings	2–3	Chicago Black Hawks	3–0–1
November 20	Boston Bruins	2–3	Chicago Black Hawks	4–0–1
November 22	Chicago Black Hawks	0–3	Toronto Maple Leafs	4–1–1
November 23	Toronto Maple Leafs	2–3	Chicago Black Hawks	5–1–1
November 25	Chicago Black Hawks	4–5	New York Rangers	5–2–1
November 27	Chicago Black Hawks	1–4	Detroit Red Wings	5–3–1
November 30	New York Rangers	5–1	Chicago Black Hawks	5–4–1
December 4	Montreal Canadiens	2–9	Chicago Black Hawks	6–4–1
December 7	Brooklyn Americans	4–5	Chicago Black Hawks	7–4–1
December 9	Chicago Black Hawks	2–2	Boston Bruins	7–4–2
December 14	Boston Bruins	3–3	Chicago Black Hawks	7–4–3
December 18	New York Rangers	1–5	Chicago Black Hawks	8–4–3
December 20	Chicago Black Hawks	2–0	Toronto Maple Leafs	9–4–3
December 21	Toronto Maple Leafs	3–0	Chicago Black Hawks	9–5–3
December 23	Chicago Black Hawks	3–4	Brooklyn Americans	9–6–3
December 25	Chicago Black Hawks	2–5	New York Rangers	9–7–3
December 30	Chicago Black Hawks	3–5	Montreal Canadiens	9–8–3
January 1	Detroit Red Wings	3–0	Chicago Black Hawks	9–9–3
January 6	Chicago Black Hawks	2–3	Boston Bruins	9–10–3
January 8	Montreal Canadiens	1–5	Chicago Black Hawks	10–10–3
January 11	Detroit Red Wings	5–6	Chicago Black Hawks	11–10–3
January 15	Chicago Black Hawks	7–4	Brooklyn Americans	12–10–3
January 17	Chicago Black Hawks	4–2	Toronto Maple Leafs	13–10–3
January 18	Boston Bruins	4–3	Chicago Black Hawks	13–11–3
January 22	Brooklyn Americans	2–4	Chicago Black Hawks	14–11–3
January 25	Toronto Maple Leafs	4–6	Chicago Black Hawks	15–11–3
January 29	Chicago Black Hawks	0–2	Detroit Red Wings	15–12–3
February 1	Montreal Canadiens	3–2	Chicago Black Hawks	15–13–3
February 3	Chicago Black Hawks	5–3	Boston Bruins	16–13–3
February 5	Chicago Black Hawks	4–3	Montreal Canadiens	17–13–3
February 8	New York Rangers	4–3	Chicago Black Hawks	17–14–3
February 10	Chicago Black Hawks	5–2	New York Rangers	18–14–3
February 12	Detroit Red Wings	2–4	Chicago Black Hawks	19–14–3
February 15	Boston Bruins	0–2	Chicago Black Hawks	20–14–3
February 19	Chicago Black Hawks	1–6	Detroit Red Wings	20–15–3
February 21	Chicago Black Hawks	3–5	Montreal Canadiens	20–16–3
February 22	Chicago Black Hawks	2–3	New York Rangers	20–17–3
February 26	Montreal Canadiens	4–5	Chicago Black Hawks	21–17–3
February 28	Chicago Black Hawks	2–8	Toronto Maple Leafs	21–18–3
March 1	Toronto Maple Leafs	4–3	Chicago Black Hawks	21–19–3
March 5	Chicago Black Hawks	1–2	Brooklyn Americans	21–20–3
March 8	Brooklyn Americans	1–6	Chicago Black Hawks	22–20–3
March 10	Chicago Black Hawks	1–9	Boston Bruins	22–21–3
March 15	New York Rangers	5–1	Chicago Black Hawks	22–22–3
March 19	Chicago Black Hawks	4–6	Detroit Red Wings	22–23–3
