Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
11-01	131	S06E01	Binoculars	Sparklers	Rubber Boots	Circular Saw s Blade
11-02	132	S06E02	Anatomical Models	Jukeboxes	Tortilla Chips	s Spark Plug
11-03	133	S06E03	Pencils	Metal Recycling	Coffee (Part 1)	Coffee (Part 2)
11-04	134	S06E04	Javelins	s Cuckoo Clock	Hearts of Palm	Windshield Wipers
11-05	135	S06E05	Technical Glass	s Washing Machine	s Playing Card	Crossbows
11-06	136	S06E06	Cine Cameras	Glass Christmas Ornaments	Giant Tires (Part 1)	Giant Tires (Part 2)
11-07	137	S06E07	Microphones	Hot Tubs	Artificial Turf	Beer Steins
11-08	138	S06E08	s Hot Rod	Decorative Eggs	Fire Hose Nozzles	Baseballs
11-09	139	S06E09	s Accordion	s Pineapple	Artificial Joints (Part 1)	Artificial Joints (Part 2)
11-10	140	S06E10	Giant Valves	Sardines	s Barograph	Disposable Diapers
11-11	141	S06E11	Heated Skate Blades	s Glider	Hand Bells	Fire Hoses
11-12	142	S06E12	s Induction Cooktop	Truck Scales	Tetra Pak Containers	s Harmonica
11-13	143	S06E13	Baseball Gloves	Medical Electrodes	Stetson Hats (Part 1)	Stetson Hats (Part 2)
