Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1977	Santiago, Chile	Clay	Henry Bunis	Patricio Cornejo Jaime Fillol	7–5, 1–6, 1–6
Winner	1979	Nice , France	Clay	Peter McNamara	Pavel Složil Tomáš Šmíd	6–1, 3–6, 6–2
Winner	1979	Cairo , Egypt	Clay	Peter McNamara	Anand Amritraj Vijay Amritraj	7–5, 6–4
Winner	1979	Palermo , Italy	Clay	Peter McNamara	Ismail El Shafei John Feaver	7–5, 7–6
Winner	1979	Sydney Outdoor , Australia	Grass	Peter McNamara	Steve Docherty John Chris Lewis	7–6, 6–3
Winner	1979	Australian Open , Melbourne	Grass	Peter McNamara	Cliff Letcher Paul Kronk	7–6, 6–2
Winner	1980	Palm Harbor , U.S.	Hard	Paul Kronk	Steve Docherty John James	6–4, 7–5
Winner	1980	Houston , U.S.	Clay	Peter McNamara	Marty Riessen Sherwood Stewart	6–4, 6–4
Runner-up	1980	Forest Hills WCT , U.S.	Clay	Peter McNamara	Peter Fleming John McEnroe	2–6, 7–5, 2–6
Runner-up	1980	London/Queen's Club , England	Grass	Sherwood Stewart	Rod Frawley Geoff Masters	2–6, 6–4, 9–11
Winner	1980	Wimbledon , London	Grass	Peter McNamara	Robert Lutz Stan Smith	7–6, 6–3, 6–7, 6–4
Winner	1980	Stockholm , Sweden	Carpet	Heinz Günthardt	Robert Lutz Stan Smith	6–7, 6–3, 6–2
Runner-up	1980	Bologna , Italy	Carpet	Steve Denton	Balázs Taróczy Butch Walts	6–2, 3–6, 0–6
Runner-up	1980	Johannesburg , South Africa	Hard	Heinz Günthardt	Robert Lutz Stan Smith	7–6, 3–6, 4–6
Winner	1980	Sydney Outdoor , Australia	Grass	Peter McNamara	Vitas Gerulaitis Brian Gottfried	6–2, 6–4
Runner-up	1980	Australian Open , Melbourne	Grass	Peter McNamara	Mark Edmondson Kim Warwick	5–7, 4–6
Winner	1981	Masters Doubles WCT , London	Carpet	Peter McNamara	Victor Amaya Hank Pfister	6–3, 2–6, 3–6, 6–3, 6–2
Runner-up	1981	Hamburg , Germany	Clay	Peter McNamara	Hans Gildemeister Andrés Gómez	4–6, 6–3, 4–6
Winner	1981	Stuttgart Outdoor , Germany	Clay	Peter McNamara	Mark Edmondson Mike Estep	2–6, 6–4, 7–6
Winner	1981	Sydney Outdoor , Australia	Grass	Peter McNamara	Hank Pfister John Sadri	6–7, 7–6, 7–6
Runner-up	1982	Nice , France	Clay	Balázs Taróczy	Henri Leconte Yannick Noah	7–5, 4–6, 3–6
Winner	1982	Monte Carlo , Monaco	Clay	Peter McNamara	Mark Edmondson Sherwood Stewart	6–7, 7–6, 6–3
Winner	1982	Bournemouth , England	Clay	Buster Mottram	Henri Leconte Ilie Năstase	3–6, 7–6, 6–3
Winner	1982	Wimbledon , London	Grass	Peter McNamara	Peter Fleming John McEnroe	6–3, 6–2
Winner	1983	Memphis , U.S.	Carpet	Peter McNamara	Tim Gullikson Tom Gullikson	6–3, 5–7, 6–4
Winner	1983	London/Queen's Club , England	Grass	Brian Gottfried	Kevin Curren Steve Denton	6–4, 6–3
Runner-up	1983	Washington, D.C. , U.S.	Clay	Ferdi Taygan	Mark Dickson Cassio Motta	2–6, 6–1, 4–6
Winner	1983	Brisbane , Australia	Carpet	Pat Cash	Mark Edmondson Kim Warwick	7–6, 7–6
Winner	1983	Australian Open , Melbourne	Grass	Mark Edmondson	Steve Denton Sherwood Stewart	6–3, 7–6
Winner	1984	Houston , U.S.	Clay	Pat Cash	David Dowlen Nduka Odizor	7–5, 4–6, 6–3
Winner	1984	Aix-en-Provence , France	Clay	Pat Cash	Chris Lewis Wally Masur	4–6, 6–3, 6–4
Winner	1984	London/Queen's Club , England	Grass	Pat Cash	Bernard Mitton Butch Walts	6–4, 6–3
Runner-up	1984	Wimbledon , London	Grass	Pat Cash	Peter Fleming John McEnroe	2–6, 7–5, 2–6, 6–3, 3–6
Runner-up	1984	Hong Kong	Hard	Mark Edmondson	Ken Flach Robert Seguso	7–6, 3–6, 5–7
Runner-up	1985	Rotterdam , Netherlands	Carpet	Vitas Gerulaitis	Pavel Složil Tomáš Šmíd	4–6, 4–6
Runner-up	1985	Boston , U.S.	Clay	Peter McNamara	Libor Pimek Slobodan Živojinović	6–2, 4–6, 6–7
Runner-up	1986	Fort Myers , U.S.	Hard	Peter Doohan	Andrés Gómez Ivan Lendl	5–7, 4–6
Runner-up	1986	Sydney Indoor , Australia	Hard (i)	Peter McNamara	Boris Becker John Fitzgerald	4–6, 6–7
