Name	Team	Qual 1	Qual 2	Best
Paul Tracy	Forsythe Racing	58.440	57.419	57.419
Cristiano da Matta	PKV Racing	58.436	57.424	57.424
Sébastien Bourdais	Newman/Haas Racing	58.576	57.559	57.559
Andrew Ranger	Mi-Jack Conquest Racing	59.581	57.801	57.801
Alex Tagliani	Team Australia	58.705	57.836	57.836
Oriol Servià	Newman/Haas Racing	58.920	57.917	57.917
Mario Domínguez	Forsythe Racing	58.546	57.942	57.942
Jimmy Vasser	PKV Racing	58.835	58.029	58.029
A. J. Allmendinger	RuSPORT	59.158	58.126	58.126
Tarso Marques	Dale Coyne Racing	59.819	58.335	58.335
Timo Glock	Rocketsports Racing	59.346	58.385	58.385
Ronnie Bremer	HVM Racing	59.435	58.471	58.471
Björn Wirdheim	HVM Racing	59.970	58.493	58.493
Ryan Hunter-Reay	Rocketsports Racing	59.395	58.693	58.693
Nelson Philippe	Mi-Jack Conquest Racing	59.789	58.844	58.844
Justin Wilson	RuSPORT	58.986	1:10.166	58.986
Ricardo Sperafico	Dale Coyne Racing	1:00.390	59.128	59.128
Marcus Marshall	Team Australia	1:01.135	59.200	59.200
