Draw	Language	Artist	Song	English translation	Place	Points
01	French	Sherisse Laurence	" L'amour de ma vie "	The love of my life	3	117
02	Croatian	Doris Dragović	" Željo moja "	My desire	11	49
03	French	Cocktail Chic	" Européennes "	European girls	17	13
04	Norwegian	Ketil Stokkan	" Romeo "	—	12	44
05	English	Ryder	" Runner in the Night "	—	7	72
06	Icelandic	ICY	" Gleðibankinn "	The bank of fun	16	19
07	Dutch	Frizzle Sizzle	" Alles heeft ritme "	Everything has rhythm	13	40
08	Turkish	Klips ve Onlar	" Halley "	—	9	53
09	Spanish	Cadillac	" Valentino "	—	10	51
10	French	Daniela Simmons	" Pas pour moi "	Not for me	2	140
11	Hebrew	Moti Giladi & Sarai Tzuriel	" Yavo Yom " (יבוא יום)	A day will come	19	7
12	English	Luv Bug	" You Can Count On Me "	—	4	96
13	French	Sandra Kim	" J'aime la vie "	I love life	1	176
14	German	Ingrid Peters	" Über die Brücke geh'n "	Crossing the bridge	8	62
15	Greek	Elpida	" Tora Zo " (Τώρα ζω)	Now I live	20	4
16	German	Timna Brauer	" Die Zeit ist einsam "	Time is lonely	18	12
17	Swedish	Lasse Holm & Monica Törnell	" E' de' det här du kallar kärlek? "	Is this what you call love?	5	78
18	Danish	Lise Haavik	" Du er fuld af løgn "	You are full of lies	6	77
19	Finnish	Kari Kuivalainen	" Never The End "	—	15	22
20	Portuguese	Dora	" Não sejas mau para mim "	Don't be bad to me	14	28
