Event	Time	Nationality	Date	Meet	Location
50 m freestyle	20.51	Brazil	17 December 2010	World Championships	Dubai , United Arab Emirates
100 m freestyle	45.08	United States	19 December 2009	Duel in the Pool	Manchester , United Kingdom
200 m freestyle	1:40.80	Canada	15 November 2009	World Cup	Berlin , Germany
400 m freestyle	3:34.81	United States	22 February 2009	Japan Open	Tokyo , Japan
800 m freestyle	7:33.94	United States	19 December 2009	Duel in the Pool	Manchester , United Kingdom
1500 m freestyle	14:28.63	Canada	8 August 2009	British Grand Prix	Leeds , United Kingdom
50 m backstroke	22.61	United States	22 November 2009	World Cup	Singapore , Singapore
100 m backstroke	48.94	United States	18 December 2009	Duel in the Pool	Manchester , United Kingdom
200 m backstroke	1:46.68	United States	19 December 2010	World Championships	Dubai , United Arab Emirates
50 m breaststroke	25.70	Brazil	14 November 2009	World Cup	Berlin , Germany
100 m breaststroke	56.49	Brazil	15 November 2009	World Cup	Berlin , Germany
200 m breaststroke	2:02.92	United States	17 January 2004	World Cup	Berlin , Germany
50 m butterfly	22.16	Brazil	21 November 2009	World Cup	Singapore , Singapore
100m butterfly	48.80	United States	21 October 2013	World Cup	Doha , Qatar
200 m butterfly	1:49.11	Brazil	10 November 2009	World Cup	Stockholm , Sweden
100m individual medley	50.71	United States	15 December 2012	World Championships	Istanbul , Turkey
200m individual medley	1:49.63	United States	14 December 2012	World Championships	Istanbul , Turkey
400m individual medley	3:55.50	United States	16 December 2010	World Championships	Dubai , United Arab Emirates
4×50m freestyle relay	1:25.28	CRF Rio de Janeiro	20 August 2012	José Finkel Trophy	São Paulo , Brazil
4×100m freestyle relay	3:03.30	United States	19 December 2009	Duel in the Pool	Manchester , United Kingdom
4×200m freestyle relay	6:49.58	United States	16 December 2010	World Championships	Dubai , United Arab Emirates
4×50m medley relay	1:34.58	United States	26 March 2004	NCAA Division I Championships	East Meadow , United States
4×100m medley relay	3:20.71	United States	18 December 2009	Duel in the Pool	Manchester , United Kingdom
