Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Kirkby Town	34	5	3	83	30	+53	57
2	Colwyn Bay	34	10	2	75	32	+43	54
3	Newton	34	10	8	56	33	+23	42
4	Urmston Town	34	10	10	42	39	+3	38
5	Blackpool Mechanics	34	7	12	61	48	+13	37
6	Lytham	34	7	13	54	45	+9	35
7	Atherton Collieries	34	8	13	44	44	0	34
8	Ashton Town	34	7	14	62	56	+6	33
9	Oldham Dew	34	10	13	51	44	+7	32
10	Bolton ST	34	8	14	55	73	−18	32
11	Maghull	34	7	15	56	51	+5	31
12	Cheadle Town	34	7	15	46	62	−16	31
13	Bacup Borough	34	8	15	54	59	−5	30
14	Ashton Athletic	34	6	16	45	61	−16	30
15	Daisy Hill	34	9	15	51	61	−10	27 2
16	Whitworth Valley	34	7	17	51	71	−20	27
17	Nelson	34	4	21	43	80	−37	22
18	Prestwich Heys	34	4	23	35	75	−40	16 2
