Player	FG Pct	3FGM	3FGA	3FG Pct	FT Pct	Off Reb	Def Reb	Total Reb	Asst
Harangody	51.5	3	8	37.5	76.7	103	212	315	53
McAlarney	43.6	103	230	44.8	82.3	7	56	62	110
Kurz	45.5	37	93	39.8	85.1	61	170	231	61
Jackson	39.1	17	59	28.8	51.0	54	102	156	189
Ayers	46.6	53	114	46.5	75.0	22	80	102	38
Hillesland	50.0	1	2	50.0	68.6	43	109	152	74
Zeller	43.2	31	80	38.8	53.8	27	43	70	14
Peoples	44.2	13	36	36.1	83.3	22	30	52	37
Abromaitis	26.3	1	8	12.5	100.0	4	5	9	3
Proffitt	42.9	2	5	40.0	0.00	0	3	3	2
Andree	100.0	0	0	0.00	100.0	1	3	4	1
Nash	46.2	0	1	0.00	27.3	8	12	20	5
Kopko	50.0	1	3	33.3	0.00	1	1	2	0
Total	45.9	262	639	41.0	73.6	413	878	1291	587
