Tie no	Home team	Score	Away team	Attendance
1	Bristol City	1 – 1	Kingstonian	14,787
replay	Kingstonian	0 – 1	Bristol City	3,341
2	Southampton	3 – 1	Sheffield Wednesday	15,251
3	Gillingham	2 – 4	Chelsea	10,419
4	Blackburn Rovers	0 – 0	Derby County	18,858
replay	Derby County	2 – 5	Blackburn Rovers	15,203
5	Aston Villa	1 – 2	Leicester City	26,383
6	Bolton Wanderers	5 – 1	Scunthorpe United	11,737
7	Crewe Alexandra	0 – 1	Stockport County	7,318
8	Middlesbrough	0 – 0	Wimbledon	20,625
replay	Wimbledon	3 – 1	Middlesbrough	5,991
9	Sunderland	1 – 0	Ipswich Town	33,626
10	Everton	0 – 3	Tranmere Rovers	39,207
11	Wycombe Wanderers	2 – 1	Wolverhampton Wanderers	9,617
12	Manchester City	1 – 0	Coventry City	24,637
13	Queen's Park Rangers	0 – 6	Arsenal	19,003
14	Manchester United	0 – 1	West Ham United	67,029
15	Charlton Athletic	2 – 4	Tottenham Hotspur	18,101
16	Leeds United	0 – 2	Liverpool	37,108
