Call sign	Frequency MHz	City of license	ERP W	Height m ( ft )	Class	FCC info
KTLC	89.1	Canon City, Colorado	1,150	m (ft)	C3	FCC
KTCF	89.5	Dolores, Colorado	500	m (ft)	A	FCC
KTDU	88.5	Durango, Colorado	4,000	m (ft)	A	FCC
KTMH	89.9	Montrose, Colorado	4,000	m (ft)	C1	FCC
KTPS	89.7	Pagosa Springs, Colorado	200	m (ft)	A	FCC
KTSG	91.7	Steamboat Springs, Colorado	2,500	m (ft)	C3	FCC
KTOL	90.9	Leadville, Colorado	450	m (ft)	A	FCC
KTPF	91.3	Salida, Colorado	390	m (ft)	C2	FCC
KTEI	90.7	Placerville, Colorado	250	m (ft)	A	FCC
KTDL	90.7	Trinidad, Colorado	450	m (ft)	A	FCC
KTAD	89.9	Sterling, Colorado	5,000	m (ft)	C3	FCC
KTML	91.5	South Fork, Colorado	280	m (ft)	C3	FCC
KTAW	89.3	Walsenburg, Colorado	500	m (ft)	A	FCC
KTDX	89.3	Laramie, Wyoming	450	m (ft)	A	FCC
