Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Twins	4-2	Cordero (3-1)	21,480	73-58
September 2	@ Twins	2-0	Rogers (15-7)	18,293	73-59
September 3	@ Red Sox	2-0	Wasdin (2-3)	35,151	73-60
September 4	@ Red Sox	8-6	Wakefield (11-8)	34,670	74-60
September 5	@ Red Sox	6-5	Drese (11-8)	34,652	74-61
September 6	White Sox	7-4	Park (3-5)	31,251	74-62
September 7	White Sox	10-3	Contreras (12-8)	20,004	75-62
September 8	White Sox	5-2	Wasdin (2-4)	21,836	75-63
September 9	White Sox	7-3	Young (1-2)	19,384	75-64
September 10	Blue Jays	10-3	Batista (10-11)	24,617	76-64
September 11	Blue Jays	10-7	Frasor (4-6)	40,587	77-64
September 12	Blue Jays	7-6	Speier (3-7)	20,434	78-64
September 13	@ Athletics	7-6	Cordero (3-2)	15,535	78-65
September 14	@ Athletics	12-9	Redman (10-12)	15,644	79-65
September 15	@ Athletics	10-3	Mulder (17-5)	25,849	80-65
September 16	@ Athletics	5-4	Rogers (16-8)	15,281	80-66
September 17	@ Angels	9-5	Park (3-6)	43,343	80-67
September 18	@ Angels	2-0	Escobar (10-11)	41,233	81-67
September 19	@ Angels	1-0	Washburn (11-8)	40,099	82-67
September 21	Athletics	9-4	Mulder (17-6)	28,143	83-67
September 22	Athletics	5-3	Zito (11-11)	29,426	84-67
September 23	Athletics	5-4	Dotel (4-2)	23,075	85-67
September 24	Mariners	8-7	Cordero (3-3)	32,212	85-68
September 25	Mariners	5-4	Hasegawa (4-6)	48,048	86-68
September 26	Mariners	9-0	Drese (14-9)	38,597	86-69
September 27	Angels	5-3	Rogers (17-9)	20,333	86-70
September 28	Angels	8-2	Park (3-7)	26,686	86-71
September 29	Angels	8-7	Cordero (3-4)	31,538	86-72
September 30	Angels	6-3	Lackey (14-13)	23,036	87-72
October 1	@ Mariners	8-3	Drese (14-10)	45,573	87-73
October 2	@ Mariners	10-4	Moyer (7-13)	45,817	88-73
October 3	@ Mariners	3-0	Meche (7-7)	45,658	89-73
