Place	Player	Country	Score	To par
1	Hubert Green	United States	69-67=136	–4
2	Terry Diehl	United States	69-68=137	–3
3	Tom Purtzer	United States	69-69=138	–2
T4	Sam Adams	United States	70-69=139	–1
T4	Rod Funseth	United States	69-70=139	–1
T4	Gary Player	South Africa	72-67=139	–1
T7	Jay Haas	United States	72-68=140	E
T7	Joe Inman	United States	70-70=140	E
T9	Wally Armstrong	United States	71-70=141	+1
T9	Andy Bean	United States	71-70=141	+1
T9	Al Geiberger	United States	70-71=141	+1
T9	Peter Oosterhuis	England	71-70=141	+1
