Episode Titles	First air date	Reward	Immunity	Exiled	Eliminated	Vote	Finish
" You Guys Are Dumber Than You Look "	February 7, 2008	None	Yau-Man	None	Jonny	9–1	1st Voted Out Day 3
" You Guys Are Dumber Than You Look "	February 7, 2008	None	Kathy	None	Jonny	9–1	1st Voted Out Day 3
" You Guys Are Dumber Than You Look "	February 7, 2008	Airai	Airai	None	Jonny	9–1	1st Voted Out Day 3
" The Sounds of Jungle Love "	February 14, 2008	Malakal	Malakal	Cirie	Mary	6–2–2	2nd Voted Out Day 6
" The Sounds of Jungle Love "	February 14, 2008	Malakal	Malakal	Kathy	Mary	6–2–2	2nd Voted Out Day 6
" I Should Be Carried on the Chariot-Type Thing! "	February 21, 2008	Malakal	Airai	Ami	Yau-Man	6–2–1	3rd Voted Out Day 8
" I Should Be Carried on the Chariot-Type Thing! "	February 21, 2008	Malakal	Airai	Kathy	Yau-Man	6–2–1	3rd Voted Out Day 8
" That's Baked, Barbecued and Fried! "	February 28, 2008	Malakal	Malakal	Kathy	Mikey B	6–3	4th Voted Out Day 11
" That's Baked, Barbecued and Fried! "	February 28, 2008	Malakal	Malakal	Ozzy	Mikey B	6–3	4th Voted Out Day 11
" He's a Ball of Goo! "	March 6, 2008	Airai	Airai	None	Joel	6–2	5th Voted Out Day 14
" It Hit Everyone Pretty Hard "	March 13, 2008	Airai	Airai	Chet	Jonathan	No vote	Removed Due to Injury Day 15
" It Hit Everyone Pretty Hard "	March 13, 2008	Airai	Airai	Jason	Chet	5–2	6th Voted Out Day 17
" Like a Wide-Eyed Kid in the Candy Store "	March 19, 2008	Malakal	Airai	Jason	Kathy	No vote	Quit Day 19
" Like a Wide-Eyed Kid in the Candy Store "	March 19, 2008	Malakal	Airai	Tracy	Tracy	5–1	7th Voted Out Day 20
" A Lost Puppy Dog "	April 3, 2008	Airai	Airai	Alexis	Ami	4–1	8th Voted Out Day 21
" A Lost Puppy Dog "	April 3, 2008	Airai	Airai	Ozzy	Ami	4–1	8th Voted Out Day 21
" I'm in Such a Hot Pickle! "	April 10, 2008	None	Jason	None	Eliza	8–2	9th Voted Out 1st Jury Member Day 24
" I Promise... "	April 17, 2008	Amanda, Erik, Jason, Ozzy	Parvati	Cirie	Ozzy	5–4	10th Voted Out 2nd Jury Member Day 27
" I'm Ruthless... and Have a Smile on My Face "	April 24, 2008	Survivor Auction	Erik	Jason	Jason	4–3–1	11th Voted Out 3rd Jury Member Day 30
" I'm Gonna Fix Her! "	May 1, 2008	Alexis, [Cirie, Natalie]	Erik	Amanda	James	No vote	Removed Due to Injury 4th Jury Member Day 31
" I'm Gonna Fix Her! "	May 1, 2008	Alexis, [Cirie, Natalie]	Erik	Amanda	Alexis	2–0	12th Voted Out 5th Jury Member Day 33
" If It Smells Like a Rat, Give It Cheese "	May 8, 2008	Erik, [Amanda]	Erik (Natalie)	Parvati	Erik	4–1	13th Voted Out 6th Jury Member Day 36
" Stir the Pot! "	May 11, 2008	None	Amanda	None	Natalie	3–1	14th Voted Out 7th Jury Member Day 37
" Stir the Pot! "	May 11, 2008	None	Amanda	None	Cirie	1–0	15th Voted Out 8th Jury Member Day 38
"The Reunion"	May 11, 2008	Jury Vote	Jury Vote	Jury Vote	Amanda	5–3	Runner-Up
