Name	Mi from Kingston	Km from Kingston	Parish	Length feet	Length meters
Scotts Pass	44.25	71.2	Clarendon	70	21.3
Scotts Pass	44.50	71.6	Clarendon	170	51.8
Comfort Hall	65.50	105.4	St. Elizabeth	688	209.1
Balaclava	70.00	112.6	St. Elizabeth	348	106.1
Highworth	84.00	135.2	St. Elizabeth	182	55.5
Y S	84.50	136.0	St. Elizabeth	218	66.4
Ipswich	86.25	138.8	St. Elizabeth	855	260.6
Unnamed	87.75	141.2	St. James	555	164.6
Merrywood	88.50	142.4	St. James	362	115.8
Anchovy	104.50	168.2	St. James	102	31.1
Ramble	108.00	173.8	St. James	182	55.5
Bogue Hill	108.50	174.6	St. James	1276	388.9
Bogue Hill	108.75	175.0	St. James	458	139.6
