Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
17	July 6	@ Phoenix	L 109-111 (2 OT)	Jones , Sales (22)	Rasmussen (13)	Jones (6)	US Airways Center 7,131	6-11
18	July 7	@ Los Angeles	W 110-89	Douglas (28)	Dydek (7)	Whalen (8)	STAPLES Center 8,769	7-11
19	July 11	@ Seattle	W 76-63	Douglas (17)	Jones (9)	Whalen , Douglas (4)	KeyArena 10,891	8-11
20	July 12	@ Sacramento	W 82-78 (OT)	Sales (23)	Dydek (9)	Whalen (8)	ARCO Arena 6,498	9-11
21	July 17	Minnesota	W 84-79	Douglas (22)	Sales , Dydek , Willingham (5)	Whalen , Sales (4)	Mohegan Sun Arena 8,253	10-11
22	July 20	Seattle	W 76-58	Whalen (19)	Jones (10)	Douglas (6)	Mohegan Sun Arena 9,003	11-11
23	July 22	Houston	W 81-79	Douglas (25)	Douglas , Whalen , Dydek (6)	Whalen (6)	Mohegan Sun Arena 7,869	12-11
24	July 24	Detroit	L 88-92	Whalen (33)	DeSouza (9)	Whalen (7)	Mohegan Sun Arena 8,192	13-11
25	July 26	New York	W 79-75	Whalen (20)	Whalen , DeSouza (9)	Whalen (8)	Mohegan Sun Arena N/A	14-11
26	July 29	@ New York	L 67-61	Douglas (26)	Maltsi (8)	Jones (4)	Madison Square Garden 8,303	14-12
27	July 31	Chicago	W 74-56	Douglas (18)	Jones (9)	Sales (5)	Mohegan Sun Arena 8,048	15-12
