Award	Year	Category	Work	Result
Contigo Award	2001	Best Actress	The Clone	Nominated
Contigo Award	2001	Best Romantic Couple	O Clone	Won
Contigo Award	2002	Best Actress	The House of Seven Women	Nominated
Contigo Award	2004	Best Actress	The Color of Sin	Nominated
Contigo Award	2008	Best Actress	Three Sisters	Nominated
Contigo Cinema Award	2009	Best Supporting Actress	Budapest	Nominated
INTE Award	2001	Best Actress	The Clone	Won
INTE Award	2003	Best Actress	Mary, Mother of the Son of God	Won
Internet Award	2001	Best Actress	The Clone	Won
Nick Award	2001	Favourite Actress	The Clone	Won
Press Award	2000	Best New Actress	Family Ties	Won
Qualidade Award	2000	Best New Actress	Family Ties	Won
Qualidade Award	2001	Best Television Actress	The Clone	Won
TV Press Award	2000	Best Actress	Family Ties	Won
