Season	Home	Score	Away	Date
2012 Clausura	Cerro Porteño	4:1	Olimpia	Oct 27
2012 Clausura	Olimpia	0:0	Cerro Porteño	Aug 04
2012 Apertura	Olimpia	1:2	Cerro Porteño	Jul 08
2012 Apertura	Cerro Porteño	0:1	Olimpia	Apr 15
2011 Clausura	Cerro Porteño	0:0	Olimpia	Nov 20
2011 Clausura	Olimpia	1:1	Cerro Porteño	Sep 04
2011 Apertura	Olimpia	0:2	Cerro Porteño	May 1
2011 Apertura	Cerro Porteño	1:2	Olimpia	Feb 26
2010 Clausura	Cerro Porteño	1:1	Olimpia	Oct 31
2010 Clausura	Olimpia	2:2	Cerro Porteño	Aug 22
2010 Apertura	Cerro Porteño	0:0	Olimpia	May 2
2010 Apertura	Olimpia	3:2	Cerro Porteño	Feb 28
2009 Clausura	Olimpia	1:2	Cerro Porteño	Nov 15
2009 Clausura	Cerro Porteño	1:0	Olimpia	Aug 28
2009 Apertura	Cerro Porteño	1:2	Olimpia	Jun 14
2009 Apertura	Olimpia	2:0	Cerro Porteño	Apr 26
2008 Clausura	Olimpia	1:3	Cerro Porteño	Nov 9
2008 Clausura	Cerro Porteño	1:0	Olimpia	Aug 24
2008 Apertura	Olimpia	1:2	Cerro Porteño	May 17
2008 Apertura	Cerro Porteño	1:0	Olimpia	Mar 22
2007 Clausura	Cerro Porteño	3:1	Olimpia	Nov 25
2007 Clausura	Olimpia	2:1	Cerro Porteño	Sep 22
2007 Apertura	Cerro Porteño	0:0	Olimpia	Jun 29
2007 Apertura	Olimpia	0:1	Cerro Porteño	Apr 21
2006 Clausura	Cerro Porteño	1:0	Olimpia	Oct 29
2006 Clausura	Cerro Porteño	1:1	Olimpia	Aug 20
