Draw	Artist	Song	Result	Place
1	Anna Semenovich	"Love lovila"	8%	5
2	Tomas N'evergreen	"One More Try"	2%	11
3	Alexa	"Ne dumat o tebye"	7%	6
4	Plazma	"Never Ending Story"	3%	8
5	Anastasia Prikhodko	"Mamo"	25%	1
6	Valeriya	"Back to Love"	14%	2
7	Nano	"Traitor"	2%	11
8	Tim Rocks	"The Happiest Man"	1%	15
9	Princessa Avenue	"Never, Never"	2%	11
10	Nikolay Fokeev	"You Can Stop The Time"	1%	15
11	Venger Collective	"9 O'Clock Moscow"	3%	8
12	Polina Griffith	"Cry for You"	5%	7
13	Alexey Vorobyov	"Angelom byt"	10%	4
14	Unisex	"Ai-ai-ai"	2%	11
15	Arishata	"Breakdown"	3%	8
16	Kvatro	"Lyubovyu otvechay"	12%	3
