School	City	Team Name	County	Year Joined	Year Left
Attica	Attica	Red Ramblers	23 Fountain	1947	1966
Delphi Community	Delphi	Oracles	08 Carroll	1947	1992
Flora	Flora	Badgers	08 Carroll	1947	1961
Rensselaer Central	Rensselaer	Bombers	37 Jasper	1947	1949
Rossville	Rossville	Hornets	12 Clinton	1947	1977
Winamac	Winamac	Warriors	66 Pulaski	1947	1972
Sheridan	Sheridan	Blackhawks	29 Hamilton	1948 2000	1965 2012
Southwestern	Lafayette	Wildcats	79 Tippecanoe	1958	1966
Western	Russiaville	Panthers	34 Howard	1958	1965
Carroll *	Flora	Cougars	08 Carroll	1961	1977
Clinton Prairie *	Frankfort	Gophers	12 Clinton	1961	1974
Central Catholic	Lafayette	Knights	79 Tippecanoe	1970	1993
Harrison (West Lafayette)	West Lafayette	Raiders	79 Tippecanoe	1970	1997
McCutcheon	Lafayette	Mavericks	79 Tippecanoe	1975	1997
