Week	Date	Opponent	Result	Venue	Attendance
1	September 27, 1959	Chicago Bears	W 9-6	City Stadium	32,150
2	October 4, 1959	Detroit Lions	W 28-10	City Stadium	32,150
3	October 11, 1959	San Francisco 49ers	W 21-20	City Stadium	32,150
4	October 18, 1959	Los Angeles Rams	L 45-6	Milwaukee County Stadium	36,194
5	October 25, 1959	at Baltimore Colts	L 38-21	Memorial Stadium	57,557
6	November 1, 1959	at New York Giants	L 20-3	Yankee Stadium	68,837
7	November 8, 1959	at Chicago Bears	L 28-17	Wrigley Field	46,205
8	November 15, 1959	Baltimore Colts	L 28-24	Milwaukee County Stadium	25,521
9	November 22, 1959	Washington Redskins	W 21-0	City Stadium	31,853
10	November 26, 1959	at Detroit Lions	W 24-17	Briggs Stadium	49,221
11	December 6, 1959	at Los Angeles Rams	W 38-20	Los Angeles Memorial Coliseum	61,044
12	December 13, 1959	at San Francisco 49ers	W 36-14	Kezar Stadium	55,997
