Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
24 January 1992	1	Jim Sweeney	Steve Steen	Stephen Frost	Tony Slattery
31 January 1992	2	Greg Proops	Paul Merton	Ryan Stiles	Josie Lawrence
7 February 1992	3	Jim Sweeney	Paul Merton	Steve Steen	Tony Slattery
14 February 1992	4	Jim Sweeney	Stephen Frost	Josie Lawrence	Tony Slattery
21 February 1992	5	Greg Proops	Ryan Stiles	Chip Esten	Tony Slattery
28 February 1992	6	London Compilation	London Compilation	London Compilation	London Compilation
7 March 1992	7	Greg Proops	Ryan Stiles	Colin Mochrie	Brad Sherwood
14 March 1992	8	Greg Proops	Archie Hahn	Ryan Stiles	Chip Esten
21 March 1992	9	Ron West	Ryan Stiles	Colin Mochrie	Greg Proops
28 March 1992	10	Sam Johnson	Jane Brucker	Ryan Stiles	Chip Esten
3 April 1992	11	Jim Meskimen	Christopher Smith	Ryan Stiles	Chip Esten
10 April 1992	12	Greg Proops	Ron West	Ryan Stiles	Brad Sherwood
17 April 1992	13	New York Compilation	New York Compilation	New York Compilation	New York Compilation
