Name	Position	Period	Appearances¹	Goals¹	Nationality²
Thierry Rabat	Defender	1986 – 1988, 1989 – 1990	78	3	France
Éric Rabésandratana	Defender	1997 – 2001	135	9	France
Adrien Rabiot	Midfielder	2012	9	0	France
Hocine Ragued	Midfielder	2005 – 2006	1	0	Tunisia
Raí	Midfielder	1993 – 1998 †	215	72	Brazil
Philippe Redon	Forward	1976 – 1978	75	9	France
Reinaldo	Forward	2003 – 2005	78	15	Brazil
Jacques Rémond	Forward	1970 – 1972	41	15	France
Éric Renaut	Defender	1972 – 1975, 1976 – 1982	289	32	France
Christophe Revault	Goalkeeper	1997 – 1998	37	0	France
Pierre Reynaud	Midfielder	1986 – 1994	125	4	France
Ricardo	Defender	1991 – 1995	154	17	Brazil
Jocelyn Rico	Defender	1988 – 1989	25	0	France
David Rinçon	Forward	1989 – 1992	12	0	France
Claude Rivet	Midfielder	1972 – 1973	5	0	France
Laurent Robert	Forward	1999 – 2002	84	35	France
Romain Rocchi	Midfielder	2002 – 2004	34	0	France
Alain Roche	Defender	1992 – 1998 †	222	12	France
Dominique Rocheteau	Forward	1980 – 1987	253	100	France
Bruno Rodriguez	Forward	1998 – 2000	20	6	France
Cristian Rodríguez	Midfielder	2005 – 2008	50	3	Uruguay
Ronaldinho *	Midfielder	2001 – 2003	77	25	Brazil
Jean-Paul Rostagni	Defender	1971 – 1972	32	0	France
Jérôme Rothen	Midfielder	2004 – 2010	181	13	France
Bruno Roux	Forward	1987 – 1988	27	1	France
