Year	Type	Nos.	GSWR Class	GSWR Nos.	GSR Class	Inchicore Class	Withdrawn
1888–93	0-6-0	WLR 5 to 7	224	224 to 226	—	—	1905–1909
1889–94	2-4-0	WLR 10, 22, 20, 23, 43, 44, 47, and 48	276	263, 275, 273, 276, 290 to 293	276	G3	1907–1959
1891	2-4-2T	WLR 13 and 14	266	226 and 227	267 491	F4 F5	1933–1935
1892	0-4-2T	WLR 3	260	260	—	—	1912
1893	0-6-0	WLR 45, 46, 49, and 50	233	233 to 236	235	J22	1911–1951
1894	0-4-4T	WLR 15	268	268	—	—	1912
1895	0-4-4T	WLR 51 and 52	294	294 and 295	295	E2	1910–1954
1896–97	4-4-2T	WLWR 16 to 18, and 21	269	269 to 271, 274	269	C5	1949–1957
1896–97	4-4-0	WLWR 53 to 55	296	296 to 298	296	D15	1928–1949
1897	0-6-0	WLWR 56 to 58	237	237 to 239	222	J25	1934–1951
1899	0-4-4T	WLWR 27	279	279	279	E1	1953
1900	0-6-0	WLWR 2, 4, 11	222	222	222	J25	1929–1950
