Country	Total Drivers	Champions	Championships	Current 3 November 2013	First driver(s)	Last/Current driver(s) 3 November 2013
Argentina	2	0	0	1	Facu Regalia ( 2012 )	Facu Regalia ( 2013 )
Belgium	1	0	0	0	John Wartique ( 2012 )	John Wartique ( 2012 )
Canada	2	0	0	0	Robert Wickens , Daniel Morad ( 2010 )	Daniel Morad ( 2011 )
Colombia	1	0	0	0	Gabriel Chaves ( 2011 )	Gabriel Chaves ( 2011 )
Cyprus	1	0	0	1	Tio Ellinas ( 2012 )	Tio Ellinas ( 2013 )
Czech Republic	1	0	0	0	Jakub Klášterka ( 2012 )	Jakub Klášterka ( 2012 )
Denmark	1	0	0	0	Michael Christensen ( 2010 )	Michael Christensen ( 2011 )
Estonia	1	0	0	1	Kevin Korjus ( 2013 )	Kevin Korjus ( 2013 )
Germany	2	0	0	0	Tobias Hegewald ( 2010 )	Daniel Abt ( 2012 )
Hong Kong	1	0	0	1	Adderly Fong ( 2013 )	Adderly Fong ( 2013 )
Hungary	1	0	0	0	Tamás Pál Kiss ( 2011 )	Tamás Pál Kiss ( 2012 )
Indonesia	1	0	0	0	Rio Haryanto ( 2010 )	Rio Haryanto ( 2011 )
Ireland	1	0	0	1	Robert Cregan ( 2012 )	Robert Cregan ( 2013 )
Japan	1	0	0	0	Kotaro Sakurai ( 2012 )	Kotaro Sakurai ( 2012 )
Monaco	1	0	0	0	Stefano Coletti ( 2010 )	Stefano Coletti ( 2010 )
Macau	1	0	0	1	Luís Sá Silva ( 2013 )	Luís Sá Silva ( 2013 )
Mexico	2	1 ( Gutiérrez )	1 ( 2010 )	0	Esteban Gutiérrez , Pablo Sánchez López ( 2010 )	Esteban Gutiérrez , Pablo Sánchez López ( 2010 )
Netherlands	3	0	0	0	Nigel Melker , Renger van der Zande ( 2010 )	Thomas Hylkema , Nigel Melker ( 2011 )
Norway	1	0	0	0	Pål Varhaug ( 2010 )	Pål Varhaug ( 2010 )
Philippines	2	0	0	0	Marlon Stöckinger , Kotaro Sakurai ( 2011 )	Marlon Stöckinger , Kotaro Sakurai ( 2012 )
Portugal	1	0	0	0	António Félix da Costa ( 2010 )	António Félix da Costa ( 2012 )
Romania	2	0	0	1	Doru Sechelariu ( 2010 )	Robert Vișoiu ( 2013 )
Russia	5	1 ( Kvyat )	1 ( 2013 )	1	Mikhail Aleshin , Ivan Lukashevich ( 2010 )	Daniil Kvyat ( 2013 )
San Marino	1	0	0	1	Emanuele Zonzini ( 2013 )	Emanuele Zonzini ( 2013 )
Switzerland	6	0	0	2	Nico Müller , Simon Trummer ( 2010 )	Alex Fontana , Patric Niederhauser ( 2013 )
Sweden	1	0	0	1	Jimmy Eriksson ( 2013 )	Jimmy Eriksson ( 2013 )
United States	4	0	0	1	Alexander Rossi , Josef Newgarden ( 2010 )	Conor Daly 2013 )
