Pick	Player	Position	Nationality	NHL team	College/junior/club team
183.	Kaj Linna	Defence	Finland	Ottawa Senators	Boston University (NCAA)
184.	Ray Schultz	Defence	Canada	Ottawa Senators	Tri-City Americans (WHL)
185.	Igor Karpenko	Goaltender	Ukraine	Mighty Ducks of Anaheim	Kiev ( Ukraine )
186.	Joe Cardarelli	Left Wing	Canada	Tampa Bay Lightning	Spokane Chiefs (WHL)
187.	Steven Douglas	Defence	Canada	Edmonton Oilers	Niagara Falls Thunder (OHL)
188.	Jaroslav Obsut	Defence	Slovakia	Winnipeg Jets	North Battleford North Stars ( SJHL )
189.	Fredrik Loven	Centre	Sweden	Winnipeg Jets	Djurgardens IF (Sweden)
190.	Greg Hart	Right Wing	Canada	Montreal Canadiens	Kamloops Blazers (WHL)
191.	Milan Kostolny	Right Wing	Slovakia	Hartford Whalers	Detroit Jr. Red Wings (OHL)
192.	Filip Kuba	Defence	Czech Republic	Florida Panthers	Vitkovice HC (Czech Republic)
193.	Anatoli Kovesnikov	Left Wing	Ukraine	Dallas Stars	Kiev (Ukraine)
194.	Ryan Kraft	Centre	United States	San Jose Sharks	University of Minnesota (NCAA)
195.	Ilja Gorohov	Defence	Russia	New York Rangers	Yaroslavl Torpedo (Russia)
196.	Tyler Willis	Right Wing	Canada	Vancouver Canucks	Swift Current Broncos (WHL)
197.	Mark Murphy	Left Wing	United States	Toronto Maple Leafs	Stratford Cullitons ( MWJBHL )
198.	Mike Zanutto	Centre	Canada	Buffalo Sabres	Oshawa Generals (OHL)
199.	Vasili Turkovsky	Defence	Russia	Washington Capitals	CSKA Moscow (Russia)
200.	Frederic Henry	Goaltender	Canada	New Jersey Devils	Granby Bisons (QMJHL)
201.	Casey Hankinson	Left Wing	United States	Chicago Blackhawks	University of Minnesota (NCAA)
202.	Sergei Luchinkin	Centre	Russia	Dallas Stars	Moscow Dynamo (Russia)
203.	Sergei Zhukov	Defence	Russia	Boston Bruins	Yaroslavl Torpedo (Russia)
204.	Ruslan Shafikov	Centre	Russia	Philadelphia Flyers	Salavat Yulajev (Russia)
205.	Derek Bekar	Centre	Canada	St. Louis Blues	Powell River Paper Kings (BCJHL)
206.	Sergei Voronov	Defence	Russia	Pittsburgh Penguins	Moscow Dynamo (Russia)
207.	Tomi Hirvonen	Centre	Finland	Colorado Avalanche	Ilves Jrs. (Finland)
