Rank	Location	2008	2009	2010	2011	2012
1	Lake Buena Vista, Florida , USA	17,063,000	17,233,000	16,972,000	17,142,000	17,536,000
2	Anaheim, California , USA	14,721,000	15,900,000	15,980,000	16,140,000	15,963,000
3	Lake Buena Vista, Florida , USA	10,935,000	10,990,000	10,825,000	10,825,000	11,063,000
4	Lake Buena Vista, Florida , USA	9,540,000	9,590,000	9,686,000	9,783,000	9,998,000
5	Lake Buena Vista, Florida , USA	9,608,000	9,700,000	9,603,000	9,699,000	9,912,000
6	Orlando, Florida , USA	5,297,000	4,627,000	5,949,000	7,674,000	7,981,000
7	Anaheim, California , USA	5,566,000	6,095,000	6,278,000	6,341,000	7,775,000
8	Orlando, Florida , USA	6,231,000	5,530,000	5,925,000	6,044,000	6,195,000
9	Universal City, California , USA	4,583,000	4,308,000	5,040,000	5,141,000	5,912,000
10	Orlando, Florida , USA	5,926,000	5,800,000	5,100,000	5,202,000	5,358,000
