Place	Player	Country	Score	To par
T1	Peter Jacobsen	United States	67	–5
T1	Bill Longmuir	Scotland	67	–5
T1	Greg Norman	Australia	67	–5
4	Ian Baker-Finch	Australia	68	–4
T5	Seve Ballesteros	Spain	69	–3
T5	Eamonn Darcy	Ireland	69	–3
T5	Nick Faldo	England	69	–3
T5	Jaime Gonzalez	Brazil	69	–3
T5	Tom Kite	United States	69	–3
T10	José Maria Cañizares	Spain	70	–2
T10	Fred Couples	United States	70	–2
T10	Bernard Gallacher	Scotland	70	–2
T10	Jeff Hall	England	70	–2
T10	Rick Hartmann	United States	70	–2
T10	Mark James	England	70	–2
T10	Graham Marsh	Australia	70	–2
T10	Tsuneyuki Nakajima	Japan	70	–2
T10	Martin Poxon	England	70	–2
T10	Lee Trevino	United States	70	–2
T10	Lanny Wadkins	United States	70	–2
