Date	Series	Circuit	City / State	Winner	Team
24 Feb	ATCC Round 1	Sandown International Raceway	Melbourne , Victoria	Jim Richards	Nissan Motorsport Australia
10 Mar	ATCC Round 2	Symmons Plains Raceway	Launceston , Tasmania	Jim Richards	Nissan Motorsport Australia
14 Apr	ATCC Round 3	Barbagallo Raceway	Perth , Western Australia	Mark Skaife	Nissan Motorsport Australia
28 Apr	ATCC Round 4	Lakeside International Raceway	Brisbane , Queensland	Jim Richards	Nissan Motorsport Australia
5 May	ATCC Round 5	Winton Motor Raceway	Benalla , Victoria	Jim Richards	Nissan Motorsport Australia
2 Jun	ATCC Round 6	Amaroo Park	Sydney , New South Wales	Tony Longhurst	Benson & Hedges Racing
23 Jun	ATCC Round 7	Mallala Motor Sport Park	Mallala , South Australia	Mark Skaife	Nissan Motorsport Australia
14 Jul	ATCC Round 8	Lakeside International Raceway	Brisbane, Queensland	Tony Longhurst	Benson & Hedges Racing
11 Aug	ATCC Round 9	Oran Park Raceway	Sydney, New South Wales	Mark Skaife	Nissan Motorsport Australia
8 Sep	Don't Drink Drive Sandown 500	Sandown International Raceway	Melbourne], Victoria	Mark Gibbs Rohan Onslow	Bob Forbes Racing
6 Oct	Tooheys 1000	Mount Panorama Circuit	Bathurst , New South Wales	Jim Richards Mark Skaife	Nissan Motorsport Australia
3 Nov	Hush Puppies Olympic Group A Challenge	Adelaide Street Circuit	Adelaide , South Australia	Jim Richards	Nissan Motorsport Australia
