Rank	Name	Period	Games	Goals
1	Uri Malmilian	1973–89	423	140
2	Hanan Azulay	1974–89	369	0 41
3	Itzhak Jano	1968–83	375	0 0 9
4	Yossi Mizrahi	1972–88	371	0 0 0
5	Itzik Kornfein	1995–07	366	0 0 0
6	Eli Ohana	1980–87 1991–99	345	142
6	Yossi Hakham	1965–80	345	0 0 1
8	Shaul Mizrahi	1953–70	304	0 40
9	Eitan Mizrahi	1989–03	299	0 12
10	Sami Malka	1980–92	288	0 47
11	Udi Rubowitch	1963–74	281	0 81
12	Meir Kadosh	1984–95	279	0 0 0
12	Ya'akov Schwartz	1983–94	279	0 35
14	Danny Noyman	1971–80 1982–84	264	0 34
15	Shlomi Avrahami	1960–73	260	0 20
16	David Amsalem	1995–98 2000–09	252	0 11
17	Serhiy Tritjak	1992–2000	239	0 0 3
18	Aviram Baruchyan	2002–12	237	0 36
19	Itzhak Monsa	1958–68	235	0 51
20	Hai Mizrahi	1954–65	229	0 0 1
20	Yossi Avrahami	1974–84	229	0 18
