Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Troy Mallette	LW	Canada	Sault Ste. Marie Greyhounds ( OHL )
2	Murray Duval	D	Canada	Spokane Chiefs ( WHL )
4	Tony Amonte	RW	United States	Thayer Academy (Massachusetts)
5	Martin Bergeron	C	Canada	Drummondville Voltigeurs ( QMJHL )
6	Dennis Vial	D	Canada	Hamilton Steelhawks (OHL)
7	Mike Rosati	G	Canada	Hamilton Steelhawks (OHL)
8	Eric Couvrette	LW	Canada	Saint-Jean Castors (QMJHL)
10	Paul Cain	C	Canada	Cornwall Royals (OHL)
10	Eric Fenton	RW	United States	N. Yarmouth Academy (Maine)
11	Peter Fiorentino	D	Canada	Sault Ste. Marie Greyhounds (OHL)
12	Keith Slifstein	RW	United States	Choate Academy (Connecticut)
