Season	Champion	Count	Runners-up	Third place	Top scorer	Top scorers club	Goals
1951	Sport Boys	4	Deportivo Municipal	Mariscal Sucre	Valeriano Lopez	Sport Boys	31
1952	Alianza Lima	9	Sport Boys	Sporting Tabaco	Emilio Salinas	Alianza Lima	22
1953	Mariscal Sucre	2	Alianza Lima	Sporting Tabaco	Gualberto Blanco	Atlético Chalaco	17
1954	Alianza Lima	10	Sporting Tabaco	Universitario	Vicente Villanueva	Sporting Tabaco	14
1955	Alianza Lima	11	Universitario	Centro Iqueño	Maximo Mosquera	Alianza Lima	11
1956	Sporting Cristal	1	Alianza Lima	Deportivo Municipal	Daniel Ruiz	Universitario	16
1957	Centro Iqueño	1	Atlético Chalaco	Alianza Lima	Daniel Ruiz	Universitario	20
1958	Sport Boys	5	Atlético Chalaco	Mariscal Castilla	Juan Joya	Alianza Lima	17
1959	Universitario	8	Sport Boys	Centro Iqueño	Daniel Ruiz	Universitario	28
1960	Universitario	9	Sport Boys	Sporting Cristal	Fernando Olaechea	Centro Iqueño	18
1961	Sporting Cristal	2	Alianza Lima	Centro Iqueño	Alberto Gallardo	Sporting Cristal	18
1962	Alianza Lima	12	Sporting Cristal	Universitario	Alberto Gallardo	Sporting Cristal	22
1963	Alianza Lima	13	Sporting Cristal	Universitario	Pedro Pablo Leon	Alianza Lima	13
1964	Universitario	10	Alianza Lima	Deportivo Municipal	Ángel Uribe	Universitario	15
1965	Alianza Lima	14	Universitario	Defensor Arica	Carlos Urranaga	Defensor Lima	16
1966	Universitario	11	Sport Boys	Alianza Lima	Teófilo Cubillas	Alianza Lima	19
1967	Universitario	12	Sporting Cristal	Alianza Lima	Pedro Pablo Leon	Alianza Lima	14
1968	Sporting Cristal	3	Juan Aurich	Alianza Lima	Oswaldo Ramírez	Sport Boys	26
1969	Universitario	13	Defensor Arica	Deportivo Municipal	Jaime Moreno	Deportivo Municipal	15
1970	Sporting Cristal	4	Universitario	Defensor Arica	Teófilo Cubillas	Alianza Lima	22
1971	Universitario	14	Alianza Lima	Defensor Lima	Manuel Mellan	Deportivo Municipal	25
1972	Sporting Cristal	5	Universitario	Deportivo Municipal	Francisco González	Defensor Lima	20
1973	Defensor Lima	1	Sporting Cristal	Universitario	Francisco González	Defensor Lima	25
1974	Universitario	15	Unión Huaral	Defensor Lima	Pablo Muchotrigo	Cienciano	32
1975	Alianza Lima	15	Alfonso Ugarte	Universitario	Jose Leyva	Alfonso Ugarte	28
1976	Unión Huaral	1	Sport Boys	Juan Aurich	Alejandro Luces	Unión Huaral	17
1977	Alianza Lima	16	Sporting Cristal	Melgar	Freddy Ravello	Alianza Lima	21
1978	Alianza Lima	17	Universitario	Sporting Cristal	Juan José Oré	Universitario	19
1979	Sporting Cristal	6	Atlético Chalaco	Juan Aurich	Jose Leyva	Alfonso Ugarte	28
1980	Sporting Cristal	7	Atlético Torino	Asociación Deportiva Tarma	Oswaldo Ramírez	Sporting Cristal	18
1981	Melgar	1	Deportivo Municipal	Universitario	Jose Carranza	Alianza Lima	15
1982	Universitario	16	Alianza Lima	Juan Aurich	Percy Rojas	Universitario	19
1983	Sporting Cristal	8	Melgar	Universitario	Juan Caballero	Sporting Cristal	29
1984	Sport Boys	6	Universitario	Melgar	Jaime Drago Francisco Montero	Universitario Atlético Torino	13 13
1985	Universitario	17	Universidad Técnica de Cajamarca	Los Espartanos	Genaro Neyra	Melgar	22
1986	San Agustín	1	Alianza Lima	N/A	Juvenal Briceño	Melgar	16
1987	Universitario	18	Alianza Lima	N/A	Fidel Suarez	Universitario	20
1988	Sporting Cristal	9	Universitario	N/A	Alberto Mora	Octavio Espinoza	15
1989	Unión Huaral	2	Sporting Cristal	N/A	Carlos Delgado	Carlos A. Mannucci	14
1990	Universitario	19	Sport Boys	N/A	Cláudio Adão	Sport Boys	31
1991	Sporting Cristal	10	Sport Boys	Universitario	Raúl Horacio Baldessari	Sporting Cristal	25
1992	Universitario	20	Sporting Cristal	Melgar [A ]	Marquinho	Sport Boys	18
1993	Universitario	21	Alianza Lima	Sporting Cristal	Waldir Sáenz	Alianza Lima	19
1994	Sporting Cristal	11	Alianza Lima	Universitario	Flavio Maestri	Sporting Cristal	25
1995	Sporting Cristal	12	Universitario	Alianza Lima	Julinho	Sporting Cristal	23
1996	Sporting Cristal	13	Alianza Lima	Universitario	Waldir Sáenz	Alianza Lima	19
1997	Alianza Lima	18	Sporting Cristal	Universitario	Ricardo Zegarra	Alianza Atlético	17
1998	Universitario	22	Sporting Cristal	Alianza Lima	Nílson Esidio Mora	Sporting Cristal	25
1999	Universitario	23	Alianza Lima	Sporting Cristal	Ysrael Zúñiga	Melgar	32
2000	Universitario	24	Sporting Cristal	Sport Boys	Eduardo Esidio	Universitario	37
2001	Alianza Lima	19	Cienciano	Sporting Cristal	Jorge Ramirez	Wanka	21
2002	Sporting Cristal	14	Universitario	Alianza Lima	Luis Fabián Artime	Melgar	24
2003	Alianza Lima	20	Sporting Cristal	N/A [B ]	Luis Bonnet	Sporting Cristal	20
2004	Alianza Lima	21	Sporting Cristal	Cienciano	Gabriel Garcia	Melgar	35
2005	Sporting Cristal	15	Cienciano	Universitario	Miguel Mostto	Cienciano	18
2006	Alianza Lima	22	Cienciano	Sporting Cristal	Miguel Mostto	Cienciano	22
2007	Universidad San Martín	1	Coronel Bolognesi	Cienciano	Johan Fano	Universitario	19
2008	Universidad San Martín	2	Universitario	Sporting Cristal	Miguel Ximénez	Sporting Cristal	32
2009	Universitario	25	Alianza Lima	Juan Aurich	Richard Estigarribia	Total Chalaco	23
2010	Universidad San Martín	3	León de Huánuco	Alianza Lima	Héber Arriola	Universidad San Martín	24
2011	Juan Aurich	1	Alianza Lima	Sport Huancayo	Luis Tejada	Juan Aurich	17
