Municipality	Inhabitants	Mayor	Party	Election
Milan	1,324,110	Giuliano Pisapia	Left Ecology Freedom	2011
Brescia	193,879	Emilio Del Bono	Democratic Party	2013
Monza	122,712	Roberto Scanagatti	Democratic Party	2012
Bergamo	119,551	Franco Tentorio	The People of Freedom	2009
Como	85,263	Mario Lucini	Democratic Party	2012
Busto Arsizio	81,760	Gianluigi Farioli	The People of Freedom	2011
Varese	81,579	Attilio Fontana	Lega Lombarda	2011
Sesto San Giovanni	81,130	Monica Chittò	Democratic Party	2012
Cinisello Balsamo	74,150	Daniela Gasparini	Democratic Party	2009
Cremona	72,147	Oreste Perri	The People of Freedom	2009
Pavia	71,142	Alessandro Cattaneo	The People of Freedom	2009
Vigevano	63,700	Andrea Sala	Lega Lombarda	2010
Legnano	59,147	Alberto Centinaio	Democratic Party	2012
Gallarate	51,751	Edoardo Guenzani	Democratic Party	2011
Rho	50,686	Pietro Romano	Democratic Party	2011
