January	February	March	April	June	July	August	September	October	November	December
Carol Bernaola & Darlene Bernaola	Suzanne Stokes	Nicole Marie Lenz	Brande Roderick	Shannon Stewart	Neferteri Shepherd	Summer Altice	Kerissa Fare	Nichole Van Croft	Buffy Tyler	Cara Michelle
Irina Voronina	Lauren Michelle Hill	Miriam Gonzalez	Katie Lohmann	Heather Spytek	Kimberley Stanfield	Jennifer Walcott	Dalene Kurtis	Stephanie Heinrich	Lindsey Vuolo	Shanna Moakler
Nicole Narain	Anka Romensky	Tina Jordan	Heather Carolin	Michele Rogers	Lauren Anderson	Christina Santiago	Shallan Meiers	Teri Harrison	Serria Tawan	Lani Todd
Rebecca Ramos	Charis Boyle	Pennelope Jimenez	Carmella DeCesare	Tailor James	Marketa Janska	Colleen Marie	Luci Victoria	Audra Lynn	Divini Rae	Deisy Teles & Sarah Teles
Colleen Shannon	Aliya Wolf	Sandra Hubby	Krista Kelly	Hiromi Oshima	Stephanie Glasson	Pilar Lastra	Scarlett Keegan	Kimberly Holland	Cara Zavaleta	Tiffany Fallon
Destiny Davis	Amber Campisi	Jillian Grace	Courtney Rachel Culkin	Kara Monaco	Qiana Chase	Tamara Witmer	Vanessa Hoelsher	Amanda Paige	Raquel Gibson	Christine Smith
Athena Lundberg	Cassandra Lynn	Monica Leigh	Holley Ann Dorrough	Stephanie Larimore	Sara Jean Underwood	Nicole Voss	Janine Habeck	Jordan Monroe	Sarah Elizabeth	Kia Drayton
Jayde Nicole	Heather Rene Smith	Tyran Richard	Giuliana Marino	Brittany Binger	Tiffany Selby	Tamara Sky	Patrice Hollis	Spencer Scott	Lindsay Wagner	Sasckya Porto
Sandra Nilsson	Michelle McLaughlin	Ida Ljungqvist	Regina Deutinger	Juliette Fretté	Laura Croft	Kayla Collins	Valerie Mason	Kelly Carrington	Grace Kim	Jennifer and Natalie Jo Campbell
Dasha Astafieva	Jessica Burciaga	Jennifer Pershing	Hope Dworaczyk	Candice Cassidy	Karissa Shannon	Kristina Shannon	Kimberly Phillips	Lindsey Evans	Kelley Thompson	Crystal Harris
